ID,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
haymale99c,1946-47,0,BAA,TRH,1,0,1,0,-0.5,6,0,0,0,0
haymale99c,Career,0,BAA,0,1,0,1,0,-0.5,0,0,0,0,0
hughere99c,1992-93,0,NBA,SAS,1,1,0,1,0.5,2,0,0,0,0
johnsph99c,1981-82,0,NBA,CHI,1,0,1,0,-0.5,5,0,0,0,0
staakbo99c,1996-97,0,NBA,WSB,1,0,1,0,-0.5,4,0,0,0,0
staakbo99c,Career,0,NBA,0,1,0,1,0,-0.5,0,0,0,0,0
bayloel01c,1974-75,40,NBA,NOJ,1,0,1,0,-0.5,5,0,0,0,0
schaydo01c,1971-72,43,NBA,BUF,1,0,1,0,-0.5,4,0,0,0,0
myerspe01c,2007-08,44,NBA,CHI,1,0,1,0,-0.5,4,0,0,0,0
willihe01c,2003-04,45,NBA,NYK,1,1,0,1,0.5,3,0,0,0,0
bertkbi99c,1998-99,71,NBA,LAL,1,1,0,1,0.5,2,0,0,0,0
barrito99c,2009-10,0,NBA,NJN,2,0,2,0,-1,5,0,0,0,0
barrito99c,Career,0,NBA,0,2,0,2,0,-1,0,0,0,0,0
berrybi99c,2001-02,0,NBA,CHI,2,0,2,0,-1,8,0,0,0,0
berrybi99c,Career,0,NBA,0,2,0,2,0,-1,0,0,0,0,0
danieme01c,Career,0,NBA,0,2,0,2,0,-1,0,0,0,0,0
dischte01c,Career,0,NBA,0,2,0,2,0,-1,0,0,0,0,0
dischte01c,1971-72,31,NBA,DET,2,0,2,0,-1,4,0,0,0,0
myerspe01c,2003-04,40,NBA,CHI,2,0,2,0,-1,8,0,0,0,0
calvima01c,1991-92,44,NBA,LAC,2,1,1,0.5,0,5,0,0,0,0
danieme01c,1988-89,44,NBA,IND,2,0,2,0,-1,6,0,0,0,0
davisjo01c,2008-09,53,NBA,MEM,2,0,2,0,-1,5,0,0,0,0
bertkbi99c,1993-94,66,NBA,LAL,2,1,1,0.5,0,5,0,0,0,0
bertkbi99c,Career,0,NBA,0,3,2,1,0.667,0.5,0,0,0,0,0
duffeik99c,Career,0,NBA,0,3,1,2,0.333,-0.5,0,0,0,0,0
fitzgdi01c,Career,0,BAA,0,3,2,1,0.667,0.5,0,0,0,0,0
kloppbo99c,1981-82,0,NBA,CLE,3,0,3,0,-1.5,6,0,0,0,0
loganjo01c,Career,0,NBA,0,3,2,1,0.667,0.5,0,0,0,0,0
myerspe01c,Career,0,NBA,0,3,0,3,0,-1.5,0,0,0,0,0
fitzgdi01c,1946-47,26,BAA,TRH,3,2,1,0.667,0.5,6,0,0,0,0
loganjo01c,1950-51,30,NBA,TRI,3,2,1,0.667,0.5,5,0,0,0,0
fratemi99c,1980-81,33,NBA,ATL,3,0,3,0,-1.5,4,0,0,0,0
reisech01c,1952-53,38,NBA,BLB,3,0,3,0,-1.5,4,0,0,0,0
watsoea01c,2017-18,38,NBA,PHO,3,0,3,0,-1.5,5,0,0,0,0
duffeik99c,1949-50,43,NBA,AND,3,1,2,0.333,-0.5,2,0,0,0,0
youngdr99c,1973-74,0,NBA,KCO,4,0,4,0,-2,4,0,0,0,0
