,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,adelmri01c,1983-84,37.0,NBA,POR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,adelmri01c,1984-85,38.0,NBA,POR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adelmri01c,1985-86,39.0,NBA,POR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,adelmri01c,1986-87,40.0,NBA,POR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,adelmri01c,1987-88,41.0,NBA,POR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,adelmri01c,1988-89,42.0,NBA,POR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,adelmri01c,1988-89,42.0,NBA,POR,35,14.0,21.0,0.4,-3.5,5.0,3.0,0.0,3.0,0.0
7,adelmri01c,1989-90,43.0,NBA,POR,82,59.0,23.0,0.72,18.0,2.0,21.0,12.0,9.0,0.5710000000000001
8,adelmri01c,1990-91,44.0,NBA,POR,82,63.0,19.0,0.768,22.0,1.0,16.0,9.0,7.0,0.563
9,adelmri01c,1991-92,45.0,NBA,POR,82,57.0,25.0,0.695,16.0,1.0,21.0,13.0,8.0,0.619
10,adelmri01c,1992-93,46.0,NBA,POR,82,51.0,31.0,0.622,10.0,3.0,4.0,1.0,3.0,0.25
11,adelmri01c,1993-94,47.0,NBA,POR,82,47.0,35.0,0.573,6.0,4.0,4.0,1.0,3.0,0.25
12,adelmri01c,1995-96,49.0,NBA,GSW,82,36.0,46.0,0.439,-5.0,6.0,0.0,0.0,0.0,0.0
13,adelmri01c,1996-97,50.0,NBA,GSW,82,30.0,52.0,0.366,-11.0,7.0,0.0,0.0,0.0,0.0
14,adelmri01c,1998-99,52.0,NBA,SAC,50,27.0,23.0,0.54,2.0,4.0,5.0,2.0,3.0,0.4
15,adelmri01c,1999-00,53.0,NBA,SAC,82,44.0,38.0,0.537,3.0,5.0,5.0,2.0,3.0,0.4
16,adelmri01c,2000-01,54.0,NBA,SAC,82,55.0,27.0,0.6709999999999999,14.0,2.0,8.0,3.0,5.0,0.375
17,adelmri01c,2001-02,55.0,NBA,SAC,82,61.0,21.0,0.7440000000000001,20.0,1.0,16.0,10.0,6.0,0.625
18,adelmri01c,2002-03,56.0,NBA,SAC,82,59.0,23.0,0.72,18.0,1.0,12.0,7.0,5.0,0.583
19,adelmri01c,2003-04,57.0,NBA,SAC,82,55.0,27.0,0.6709999999999999,14.0,2.0,12.0,7.0,5.0,0.583
20,adelmri01c,2004-05,58.0,NBA,SAC,82,50.0,32.0,0.61,9.0,2.0,5.0,1.0,4.0,0.2
21,adelmri01c,2005-06,59.0,NBA,SAC,82,44.0,38.0,0.537,3.0,4.0,6.0,2.0,4.0,0.33299999999999996
22,adelmri01c,2007-08,61.0,NBA,HOU,82,55.0,27.0,0.6709999999999999,14.0,3.0,6.0,2.0,4.0,0.33299999999999996
23,adelmri01c,2008-09,62.0,NBA,HOU,82,53.0,29.0,0.6459999999999999,12.0,2.0,13.0,7.0,6.0,0.5379999999999999
24,adelmri01c,2009-10,63.0,NBA,HOU,82,42.0,40.0,0.512,1.0,3.0,0.0,0.0,0.0,0.0
25,adelmri01c,2010-11,64.0,NBA,HOU,82,43.0,39.0,0.524,2.0,5.0,0.0,0.0,0.0,0.0
26,adelmri01c,2011-12,65.0,NBA,MIN,66,26.0,40.0,0.39399999999999996,-7.0,5.0,0.0,0.0,0.0,0.0
27,adelmri01c,2012-13,66.0,NBA,MIN,82,31.0,51.0,0.37799999999999995,-10.0,5.0,0.0,0.0,0.0,0.0
28,adelmri01c,2013-14,67.0,NBA,MIN,82,40.0,42.0,0.488,-1.0,3.0,0.0,0.0,0.0,0.0
29,adelmri01c,Career,0.0,NBA,0,1791,1042.0,749.0,0.5820000000000001,146.5,0.0,157.0,79.0,78.0,0.503
0,adubari99c,1978-79,41.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,adubari99c,1979-80,42.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adubari99c,1979-80,42.0,NBA,DET,70,12.0,58.0,0.171,-23.0,6.0,0.0,0.0,0.0,0.0
3,adubari99c,1982-83,45.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,adubari99c,1983-84,46.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,adubari99c,1984-85,47.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,adubari99c,1986-87,49.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,adubari99c,1987-88,50.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,adubari99c,1988-89,51.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,adubari99c,1989-90,52.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,adubari99c,1989-90,52.0,NBA,DAL,71,42.0,29.0,0.5920000000000001,6.5,3.0,3.0,0.0,3.0,0.0
11,adubari99c,1990-91,53.0,NBA,DAL,82,28.0,54.0,0.341,-13.0,6.0,0.0,0.0,0.0,0.0
12,adubari99c,1991-92,54.0,NBA,DAL,82,22.0,60.0,0.268,-19.0,5.0,0.0,0.0,0.0,0.0
13,adubari99c,1992-93,55.0,NBA,DAL,29,2.0,27.0,0.069,-12.5,6.0,0.0,0.0,0.0,0.0
14,adubari99c,1993-94,56.0,NBA,CLE,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,adubari99c,1994-95,57.0,NBA,ORL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,adubari99c,1995-96,58.0,NBA,ORL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,adubari99c,1996-97,59.0,NBA,ORL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,adubari99c,1996-97,59.0,NBA,ORL,33,21.0,12.0,0.636,4.5,3.0,5.0,2.0,3.0,0.4
19,adubari99c,Career,0.0,NBA,0,367,127.0,240.0,0.34600000000000003,-56.5,0.0,8.0,2.0,6.0,0.25
0,aingeda01c,1996-97,37.0,NBA,PHO,74,40.0,34.0,0.541,3.0,4.0,5.0,2.0,3.0,0.4
1,aingeda01c,1997-98,38.0,NBA,PHO,82,56.0,26.0,0.6829999999999999,15.0,3.0,4.0,1.0,3.0,0.25
2,aingeda01c,1998-99,39.0,NBA,PHO,50,27.0,23.0,0.54,2.0,3.0,3.0,0.0,3.0,0.0
3,aingeda01c,1999-00,40.0,NBA,PHO,20,13.0,7.0,0.65,3.0,3.0,0.0,0.0,0.0,0.0
4,aingeda01c,Career,0.0,NBA,0,226,136.0,90.0,0.602,23.0,0.0,12.0,3.0,9.0,0.25
0,albecst99c,1970-71,39.0,ABA,DNR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,albecst99c,1970-71,39.0,ABA,DNR,71,27.0,44.0,0.38,-8.5,5.0,0.0,0.0,0.0,0.0
2,albecst99c,1971-72,40.0,ABA,DNR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,albecst99c,1972-73,41.0,ABA,SDA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,albecst99c,1973-74,42.0,ABA,SDA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,albecst99c,1974-75,43.0,ABA,KEN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,albecst99c,1975-76,44.0,ABA,KEN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,albecst99c,1976-77,45.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,albecst99c,1977-78,46.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,albecst99c,1978-79,47.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,albecst99c,1979-80,48.0,NBA,CLE,82,37.0,45.0,0.451,-4.0,5.0,0.0,0.0,0.0,0.0
11,albecst99c,1980-81,49.0,NBA,SAS,82,52.0,30.0,0.634,11.0,1.0,7.0,3.0,4.0,0.429
12,albecst99c,1981-82,50.0,NBA,SAS,82,48.0,34.0,0.585,7.0,1.0,9.0,4.0,5.0,0.444
13,albecst99c,1982-83,51.0,NBA,SAS,82,53.0,29.0,0.6459999999999999,12.0,1.0,11.0,6.0,5.0,0.545
14,albecst99c,1983-84,52.0,NBA,NJN,82,45.0,37.0,0.5489999999999999,4.0,4.0,11.0,5.0,6.0,0.455
15,albecst99c,1984-85,53.0,NBA,NJN,82,42.0,40.0,0.512,1.0,3.0,3.0,0.0,3.0,0.0
16,albecst99c,1985-86,54.0,NBA,CHI,82,30.0,52.0,0.366,-11.0,4.0,3.0,0.0,3.0,0.0
17,albecst99c,1995-96,64.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,albecst99c,1997-98,66.0,NBA,ATL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,albecst99c,1998-99,67.0,NBA,ATL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,albecst99c,1999-00,68.0,NBA,ATL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,albecst99c,2000-01,69.0,NBA,TOR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,albecst99c,2001-02,70.0,NBA,TOR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,albecst99c,Career,0.0,TOT,0,645,334.0,311.0,0.518,11.5,0.0,44.0,18.0,26.0,0.409
0,armstcu01c,1948-49,30.0,BAA,FTW,54,22.0,32.0,0.40700000000000003,-5.0,5.0,0.0,0.0,0.0,0.0
1,armstcu01c,Career,0.0,BAA,0,54,22.0,32.0,0.40700000000000003,-5.0,0.0,0.0,0.0,0.0,0.0
0,atkinke01c,2008-09,41.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,atkinke01c,2009-10,42.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,atkinke01c,2010-11,43.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,atkinke01c,2011-12,44.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,atkinke01c,2013-14,46.0,NBA,ATL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,atkinke01c,2014-15,47.0,NBA,ATL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,atkinke01c,2015-16,48.0,NBA,ATL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,atkinke01c,2016-17,49.0,NBA,BRK,82,20.0,62.0,0.244,-21.0,5.0,0.0,0.0,0.0,0.0
8,atkinke01c,2017-18,50.0,NBA,BRK,82,28.0,54.0,0.341,-13.0,5.0,0.0,0.0,0.0,0.0
9,atkinke01c,Career,0.0,NBA,0,164,48.0,116.0,0.293,-34.0,0.0,0.0,0.0,0.0,0.0
0,attleal01c,1968-69,32.0,NBA,SFW,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,attleal01c,1969-70,33.0,NBA,SFW,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,attleal01c,1969-70,33.0,NBA,SFW,30,8.0,22.0,0.267,-7.0,6.0,0.0,0.0,0.0,0.0
3,attleal01c,1970-71,34.0,NBA,SFW,82,41.0,41.0,0.5,0.0,2.0,5.0,1.0,4.0,0.2
4,attleal01c,1971-72,35.0,NBA,GSW,82,51.0,31.0,0.622,10.0,2.0,5.0,1.0,4.0,0.2
5,attleal01c,1972-73,36.0,NBA,GSW,82,47.0,35.0,0.573,6.0,2.0,11.0,5.0,6.0,0.455
6,attleal01c,1973-74,37.0,NBA,GSW,82,44.0,38.0,0.537,3.0,2.0,0.0,0.0,0.0,0.0
7,attleal01c,1974-75,38.0,NBA,GSW,82,48.0,34.0,0.585,7.0,1.0,17.0,12.0,5.0,0.706
8,attleal01c,1975-76,39.0,NBA,GSW,82,59.0,23.0,0.72,18.0,1.0,13.0,7.0,6.0,0.5379999999999999
9,attleal01c,1976-77,40.0,NBA,GSW,82,46.0,36.0,0.561,5.0,3.0,10.0,5.0,5.0,0.5
10,attleal01c,1977-78,41.0,NBA,GSW,82,43.0,39.0,0.524,2.0,5.0,0.0,0.0,0.0,0.0
