,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,jacksma01c,2011-12,46.0,NBA,GSW,66,23.0,43.0,0.348,-10.0,4.0,0.0,0.0,0.0,0.0
1,jacksma01c,2012-13,47.0,NBA,GSW,82,47.0,35.0,0.573,6.0,2.0,12.0,6.0,6.0,0.5
2,jacksma01c,2013-14,48.0,NBA,GSW,82,51.0,31.0,0.622,10.0,2.0,7.0,3.0,4.0,0.429
3,jacksma01c,Career,0.0,NBA,0,230,121.0,109.0,0.526,6.0,0.0,19.0,9.0,10.0,0.474
0,jacksph01c,1978-79,33.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,jacksph01c,1979-80,34.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,jacksph01c,1980-81,35.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,jacksph01c,1987-88,42.0,NBA,CHI,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,jacksph01c,1988-89,43.0,NBA,CHI,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,jacksph01c,1989-90,44.0,NBA,CHI,82,55.0,27.0,0.6709999999999999,14.0,2.0,16.0,10.0,6.0,0.625
6,jacksph01c,1990-91,45.0,NBA,CHI,82,61.0,21.0,0.7440000000000001,20.0,1.0,17.0,15.0,2.0,0.882
7,jacksph01c,1991-92,46.0,NBA,CHI,82,67.0,15.0,0.8170000000000001,26.0,1.0,22.0,15.0,7.0,0.682
8,jacksph01c,1992-93,47.0,NBA,CHI,82,57.0,25.0,0.695,16.0,1.0,19.0,15.0,4.0,0.789
9,jacksph01c,1993-94,48.0,NBA,CHI,82,55.0,27.0,0.6709999999999999,14.0,2.0,10.0,6.0,4.0,0.6
10,jacksph01c,1994-95,49.0,NBA,CHI,82,47.0,35.0,0.573,6.0,3.0,10.0,5.0,5.0,0.5
11,jacksph01c,1995-96,50.0,NBA,CHI,82,72.0,10.0,0.878,31.0,1.0,18.0,15.0,3.0,0.833
12,jacksph01c,1996-97,51.0,NBA,CHI,82,69.0,13.0,0.841,28.0,1.0,19.0,15.0,4.0,0.789
13,jacksph01c,1997-98,52.0,NBA,CHI,82,62.0,20.0,0.7559999999999999,21.0,1.0,21.0,15.0,6.0,0.7140000000000001
14,jacksph01c,1999-00,54.0,NBA,LAL,82,67.0,15.0,0.8170000000000001,26.0,1.0,23.0,15.0,8.0,0.652
15,jacksph01c,2000-01,55.0,NBA,LAL,82,56.0,26.0,0.6829999999999999,15.0,1.0,16.0,15.0,1.0,0.938
16,jacksph01c,2001-02,56.0,NBA,LAL,82,58.0,24.0,0.7070000000000001,17.0,2.0,19.0,15.0,4.0,0.789
17,jacksph01c,2002-03,57.0,NBA,LAL,82,50.0,32.0,0.61,9.0,2.0,12.0,6.0,6.0,0.5
18,jacksph01c,2003-04,58.0,NBA,LAL,82,56.0,26.0,0.6829999999999999,15.0,1.0,22.0,13.0,9.0,0.591
19,jacksph01c,2005-06,60.0,NBA,LAL,82,45.0,37.0,0.5489999999999999,4.0,3.0,7.0,3.0,4.0,0.429
20,jacksph01c,2006-07,61.0,NBA,LAL,82,42.0,40.0,0.512,1.0,2.0,5.0,1.0,4.0,0.2
21,jacksph01c,2007-08,62.0,NBA,LAL,82,57.0,25.0,0.695,16.0,1.0,21.0,14.0,7.0,0.667
22,jacksph01c,2008-09,63.0,NBA,LAL,82,65.0,17.0,0.7929999999999999,24.0,1.0,23.0,16.0,7.0,0.696
23,jacksph01c,2009-10,64.0,NBA,LAL,82,57.0,25.0,0.695,16.0,1.0,23.0,16.0,7.0,0.696
24,jacksph01c,2010-11,65.0,NBA,LAL,82,57.0,25.0,0.695,16.0,1.0,10.0,4.0,6.0,0.4
