,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,obrieji99c,1987-88,35.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,obrieji99c,1988-89,36.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,obrieji99c,1997-98,45.0,NBA,BOS,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,obrieji99c,1998-99,46.0,NBA,BOS,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,obrieji99c,1999-00,47.0,NBA,BOS,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,obrieji99c,2000-01,48.0,NBA,BOS,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,obrieji99c,2000-01,48.0,NBA,BOS,48,24.0,24.0,0.5,0.0,5.0,0.0,0.0,0.0,0.0
7,obrieji99c,2001-02,49.0,NBA,BOS,82,49.0,33.0,0.598,8.0,2.0,16.0,9.0,7.0,0.563
8,obrieji99c,2002-03,50.0,NBA,BOS,82,44.0,38.0,0.537,3.0,3.0,10.0,4.0,6.0,0.4
9,obrieji99c,2003-04,51.0,NBA,BOS,46,22.0,24.0,0.478,-1.0,4.0,0.0,0.0,0.0,0.0
10,obrieji99c,2004-05,52.0,NBA,PHI,82,43.0,39.0,0.524,2.0,2.0,5.0,1.0,4.0,0.2
11,obrieji99c,2007-08,55.0,NBA,IND,82,36.0,46.0,0.439,-5.0,3.0,0.0,0.0,0.0,0.0
12,obrieji99c,2008-09,56.0,NBA,IND,82,36.0,46.0,0.439,-5.0,4.0,0.0,0.0,0.0,0.0
13,obrieji99c,2009-10,57.0,NBA,IND,82,32.0,50.0,0.39,-9.0,4.0,0.0,0.0,0.0,0.0
14,obrieji99c,2010-11,58.0,NBA,IND,44,17.0,27.0,0.386,-5.0,2.0,0.0,0.0,0.0,0.0
15,obrieji99c,2012-13,60.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,obrieji99c,2016-17,64.0,NBA,PHI,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,obrieji99c,2017-18,65.0,NBA,PHI,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,obrieji99c,Career,0.0,NBA,0,630,303.0,327.0,0.48100000000000004,-12.0,0.0,31.0,14.0,17.0,0.452
0,oneilke99c,2000-01,44.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,oneilke99c,2001-02,45.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,oneilke99c,2002-03,46.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,oneilke99c,2003-04,47.0,NBA,TOR,82,33.0,49.0,0.402,-8.0,6.0,0.0,0.0,0.0,0.0
4,oneilke99c,2004-05,48.0,NBA,IND,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,oneilke99c,2005-06,49.0,NBA,IND,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,oneilke99c,2008-09,52.0,NBA,MEM,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,oneilke99c,Career,0.0,NBA,0,82,33.0,49.0,0.402,-8.0,0.0,0.0,0.0,0.0,0.0
0,olsenha99c,1946-47,51.0,BAA,CHS,61,39.0,22.0,0.639,8.5,1.0,11.0,5.0,6.0,0.455
1,olsenha99c,1947-48,52.0,BAA,CHS,48,28.0,20.0,0.583,4.0,3.0,5.0,2.0,3.0,0.4
2,olsenha99c,1948-49,53.0,BAA,CHS,49,28.0,21.0,0.5710000000000001,3.5,3.0,2.0,0.0,2.0,0.0
3,olsenha99c,Career,0.0,BAA,0,158,95.0,63.0,0.601,16.0,0.0,18.0,7.0,11.0,0.389
