,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,pettibo01c,1961-62,29.0,NBA,STL,6,4.0,2.0,0.667,1.0,4.0,0.0,0.0,0.0,0.0
1,pettibo01c,Career,0.0,NBA,0,6,4.0,2.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0
0,pfundra99c,1985-86,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pfundra99c,1986-87,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,pfundra99c,1987-88,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,pfundra99c,1988-89,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,pfundra99c,1989-90,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,pfundra99c,1990-91,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,pfundra99c,1991-92,0.0,NBA,LAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,pfundra99c,1992-93,0.0,NBA,LAL,82,39.0,43.0,0.47600000000000003,-2.0,5.0,5.0,2.0,3.0,0.4
8,pfundra99c,1993-94,0.0,NBA,LAL,64,27.0,37.0,0.42200000000000004,-5.0,5.0,0.0,0.0,0.0,0.0
9,pfundra99c,Career,0.0,NBA,0,146,66.0,80.0,0.452,-7.0,0.0,5.0,2.0,3.0,0.4
0,phillan01c,1958-59,36.0,NBA,STL,10,6.0,4.0,0.6,1.0,1.0,0.0,0.0,0.0,0.0
1,phillan01c,Career,0.0,NBA,0,10,6.0,4.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0
0,pitinri99c,1983-84,31.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pitinri99c,1984-85,32.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,pitinri99c,1987-88,35.0,NBA,NYK,82,38.0,44.0,0.46299999999999997,-3.0,3.0,4.0,1.0,3.0,0.25
3,pitinri99c,1988-89,36.0,NBA,NYK,82,52.0,30.0,0.634,11.0,1.0,9.0,5.0,4.0,0.556
4,pitinri99c,1997-98,45.0,NBA,BOS,82,36.0,46.0,0.439,-5.0,6.0,0.0,0.0,0.0,0.0
5,pitinri99c,1998-99,46.0,NBA,BOS,50,19.0,31.0,0.38,-6.0,5.0,0.0,0.0,0.0,0.0
6,pitinri99c,1999-00,47.0,NBA,BOS,82,35.0,47.0,0.42700000000000005,-6.0,5.0,0.0,0.0,0.0,0.0
