,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,sachsph99c,1946-47,0.0,BAA,DTF,26,8.0,18.0,0.308,-5.0,4.0,0.0,0.0,0.0,0.0
1,sachsph99c,Career,0.0,BAA,0,26,8.0,18.0,0.308,-5.0,0.0,0.0,0.0,0.0,0.0
0,sadowed01c,1946-47,29.0,BAA,TRH,12,3.0,9.0,0.25,-3.0,6.0,0.0,0.0,0.0,0.0
1,sadowed01c,Career,0.0,BAA,0,12,3.0,9.0,0.25,-3.0,0.0,0.0,0.0,0.0,0.0
0,sandeto01c,1977-78,39.0,NBA,BOS,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,sandeto01c,1977-78,39.0,NBA,BOS,48,21.0,27.0,0.43799999999999994,-3.0,3.0,0.0,0.0,0.0,0.0
2,sandeto01c,1978-79,40.0,NBA,BOS,14,2.0,12.0,0.14300000000000002,-5.0,5.0,0.0,0.0,0.0,0.0
3,sandeto01c,Career,0.0,NBA,0,62,23.0,39.0,0.371,-8.0,0.0,0.0,0.0,0.0,0.0
0,saundfl99c,1995-96,40.0,NBA,MIN,62,20.0,42.0,0.32299999999999995,-11.0,5.0,0.0,0.0,0.0,0.0
1,saundfl99c,1996-97,41.0,NBA,MIN,82,40.0,42.0,0.488,-1.0,3.0,3.0,0.0,3.0,0.0
2,saundfl99c,1997-98,42.0,NBA,MIN,82,45.0,37.0,0.5489999999999999,4.0,3.0,5.0,2.0,3.0,0.4
3,saundfl99c,1998-99,43.0,NBA,MIN,50,25.0,25.0,0.5,0.0,4.0,4.0,1.0,3.0,0.25
4,saundfl99c,1999-00,44.0,NBA,MIN,82,50.0,32.0,0.61,9.0,3.0,4.0,1.0,3.0,0.25
5,saundfl99c,2000-01,45.0,NBA,MIN,82,47.0,35.0,0.573,6.0,4.0,4.0,1.0,3.0,0.25
6,saundfl99c,2001-02,46.0,NBA,MIN,82,50.0,32.0,0.61,9.0,3.0,3.0,0.0,3.0,0.0
7,saundfl99c,2002-03,47.0,NBA,MIN,82,51.0,31.0,0.622,10.0,3.0,6.0,2.0,4.0,0.33299999999999996
8,saundfl99c,2003-04,48.0,NBA,MIN,82,58.0,24.0,0.7070000000000001,17.0,1.0,18.0,10.0,8.0,0.556
9,saundfl99c,2004-05,49.0,NBA,MIN,51,25.0,26.0,0.49,-0.5,3.0,0.0,0.0,0.0,0.0
10,saundfl99c,2005-06,50.0,NBA,DET,82,64.0,18.0,0.78,23.0,1.0,18.0,10.0,8.0,0.556
11,saundfl99c,2006-07,51.0,NBA,DET,82,53.0,29.0,0.6459999999999999,12.0,1.0,16.0,10.0,6.0,0.625
12,saundfl99c,2007-08,52.0,NBA,DET,82,59.0,23.0,0.72,18.0,1.0,17.0,10.0,7.0,0.588
13,saundfl99c,2009-10,54.0,NBA,WAS,82,26.0,56.0,0.317,-15.0,5.0,0.0,0.0,0.0,0.0
14,saundfl99c,2010-11,55.0,NBA,WAS,82,23.0,59.0,0.28,-18.0,5.0,0.0,0.0,0.0,0.0
15,saundfl99c,2011-12,56.0,NBA,WAS,17,2.0,15.0,0.11800000000000001,-6.5,4.0,0.0,0.0,0.0,0.0
16,saundfl99c,2014-15,59.0,NBA,MIN,82,16.0,66.0,0.195,-25.0,5.0,0.0,0.0,0.0,0.0
17,saundfl99c,Career,0.0,NBA,0,1246,654.0,592.0,0.525,31.0,0.0,98.0,47.0,51.0,0.48
0,schaehe01c,1951-52,33.0,NBA,INO,66,34.0,32.0,0.515,1.0,3.0,2.0,0.0,2.0,0.0
1,schaehe01c,1952-53,34.0,NBA,INO,71,28.0,43.0,0.39399999999999996,-7.5,4.0,2.0,0.0,2.0,0.0
2,schaehe01c,Career,0.0,NBA,0,137,62.0,75.0,0.45299999999999996,-6.5,0.0,4.0,0.0,4.0,0.0
0,schaufr01c,1960-61,35.0,NBA,LAL,79,36.0,43.0,0.456,-3.5,2.0,12.0,6.0,6.0,0.5
1,schaufr01c,1961-62,36.0,NBA,LAL,80,54.0,26.0,0.675,14.0,1.0,13.0,7.0,6.0,0.5379999999999999
2,schaufr01c,1962-63,37.0,NBA,LAL,80,53.0,27.0,0.6629999999999999,13.0,1.0,13.0,6.0,7.0,0.462
3,schaufr01c,1963-64,38.0,NBA,LAL,80,42.0,38.0,0.525,2.0,3.0,5.0,2.0,3.0,0.4
4,schaufr01c,1964-65,39.0,NBA,LAL,80,49.0,31.0,0.613,9.0,1.0,11.0,5.0,6.0,0.455
5,schaufr01c,1965-66,40.0,NBA,LAL,80,45.0,35.0,0.563,5.0,1.0,14.0,7.0,7.0,0.5
6,schaufr01c,1966-67,41.0,NBA,LAL,81,36.0,45.0,0.444,-4.5,3.0,3.0,0.0,3.0,0.0
7,schaufr01c,Career,0.0,NBA,0,560,315.0,245.0,0.563,35.0,0.0,71.0,33.0,38.0,0.465
0,schaydo01c,1963-64,35.0,NBA,PHI,80,34.0,46.0,0.425,-6.0,3.0,5.0,2.0,3.0,0.4
1,schaydo01c,1964-65,36.0,NBA,PHI,80,40.0,40.0,0.5,0.0,3.0,11.0,6.0,5.0,0.545
2,schaydo01c,1965-66,37.0,NBA,PHI,80,55.0,25.0,0.688,15.0,1.0,5.0,1.0,4.0,0.2
3,schaydo01c,1970-71,42.0,NBA,BUF,82,22.0,60.0,0.268,-19.0,4.0,0.0,0.0,0.0,0.0
4,schaydo01c,1971-72,43.0,NBA,BUF,1,0.0,1.0,0.0,-0.5,4.0,0.0,0.0,0.0,0.0
5,schaydo01c,Career,0.0,NBA,0,323,151.0,172.0,0.467,-10.5,0.0,21.0,9.0,12.0,0.429
0,schulmi99c,1981-82,41.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,schulmi99c,1982-83,42.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,schulmi99c,1983-84,43.0,NBA,MIL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,schulmi99c,1983-84,43.0,NBA,NJN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,schulmi99c,1984-85,44.0,NBA,MIL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,schulmi99c,1985-86,45.0,NBA,MIL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,schulmi99c,1986-87,46.0,NBA,POR,82,49.0,33.0,0.598,8.0,2.0,4.0,1.0,3.0,0.25
7,schulmi99c,1987-88,47.0,NBA,POR,82,53.0,29.0,0.6459999999999999,12.0,2.0,4.0,1.0,3.0,0.25
8,schulmi99c,1988-89,48.0,NBA,POR,47,25.0,22.0,0.532,1.5,5.0,0.0,0.0,0.0,0.0
9,schulmi99c,1989-90,49.0,NBA,GSW,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
