,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,vanardi01c,1986-87,43.0,NBA,PHO,26,14.0,12.0,0.5379999999999999,1.0,5.0,0.0,0.0,0.0,0.0
1,vanardi01c,Career,0.0,NBA,0,26,14.0,12.0,0.5379999999999999,1.0,0.0,0.0,0.0,0.0,0.0
0,vanbrbu01c,1950-51,28.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,vanbrbu01c,1967-68,45.0,NBA,LAL,82,52.0,30.0,0.634,11.0,2.0,15.0,10.0,5.0,0.667
2,vanbrbu01c,1968-69,46.0,NBA,LAL,82,55.0,27.0,0.6709999999999999,14.0,1.0,18.0,11.0,7.0,0.611
3,vanbrbu01c,1969-70,47.0,NBA,DET,82,31.0,51.0,0.37799999999999995,-10.0,7.0,0.0,0.0,0.0,0.0
4,vanbrbu01c,1970-71,48.0,NBA,DET,82,45.0,37.0,0.5489999999999999,4.0,4.0,0.0,0.0,0.0,0.0
5,vanbrbu01c,1971-72,49.0,NBA,DET,10,6.0,4.0,0.6,1.0,4.0,0.0,0.0,0.0,0.0
6,vanbrbu01c,1972-73,50.0,NBA,PHO,7,3.0,4.0,0.429,-0.5,3.0,0.0,0.0,0.0,0.0
7,vanbrbu01c,1973-74,51.0,ABA,MMT,84,21.0,63.0,0.25,-21.0,5.0,0.0,0.0,0.0,0.0
8,vanbrbu01c,1974-75,52.0,NBA,NOJ,66,22.0,44.0,0.33299999999999996,-11.0,5.0,0.0,0.0,0.0,0.0
9,vanbrbu01c,1975-76,53.0,NBA,NOJ,82,38.0,44.0,0.46299999999999997,-3.0,4.0,0.0,0.0,0.0,0.0
10,vanbrbu01c,1976-77,54.0,NBA,NOJ,26,14.0,12.0,0.5379999999999999,1.0,5.0,0.0,0.0,0.0,0.0
11,vanbrbu01c,Career,0.0,TOT,0,603,287.0,316.0,0.47600000000000003,-14.5,0.0,33.0,21.0,12.0,0.636
0,vanguje99c,1989-90,28.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,vanguje99c,1990-91,29.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,vanguje99c,1991-92,30.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
