,Id,Unnamed: 0_level_0,Regular Season,Playoffs,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
,,Season,Age,Lg,Tm,G,W,L,W/L%,W > .500,Finish,G,W,L,W/L%
0,walkeda01c,1995-96,34.0,NBA,TOR,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,walkeda01c,1996-97,35.0,NBA,TOR,82,30.0,52.0,0.366,-11.0,8.0,0.0,0.0,0.0,0.0
2,walkeda01c,1997-98,36.0,NBA,TOR,49,11.0,38.0,0.22399999999999998,-13.5,8.0,0.0,0.0,0.0,0.0
3,walkeda01c,1999-00,38.0,NBA,WAS,38,15.0,23.0,0.395,-4.0,7.0,0.0,0.0,0.0,0.0
4,walkeda01c,2004-05,43.0,NBA,NOH,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,walkeda01c,2005-06,44.0,NBA,NOK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,walkeda01c,2006-07,45.0,NBA,NOK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,walkeda01c,2007-08,46.0,NBA,NOH,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,walkeda01c,2008-09,47.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,walkeda01c,2009-10,48.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,walkeda01c,2010-11,49.0,NBA,DET,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,walkeda01c,2012-13,51.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,walkeda01c,2013-14,52.0,NBA,NYK,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,walkeda01c,Career,0.0,NBA,0,169,56.0,113.0,0.331,-28.5,0.0,0.0,0.0,0.0,0.0
0,walshdo99c,1977-78,36.0,NBA,DEN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,walshdo99c,1978-79,37.0,NBA,DEN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,walshdo99c,1978-79,37.0,NBA,DEN,29,19.0,10.0,0.655,4.5,2.0,3.0,1.0,2.0,0.33299999999999996
3,walshdo99c,1979-80,38.0,NBA,DEN,82,30.0,52.0,0.366,-11.0,3.0,0.0,0.0,0.0,0.0
4,walshdo99c,1980-81,39.0,NBA,DEN,31,11.0,20.0,0.355,-4.5,4.0,0.0,0.0,0.0,0.0
5,walshdo99c,1981-82,40.0,NBA,DEN,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,walshdo99c,1984-85,43.0,NBA,IND,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,walshdo99c,1985-86,44.0,NBA,IND,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,walshdo99c,Career,0.0,NBA,0,142,60.0,82.0,0.423,-11.0,0.0,3.0,1.0,2.0,0.33299999999999996
0,waltolu01c,2014-15,34.0,NBA,GSW,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,waltolu01c,2015-16,35.0,NBA,GSW,Assistant Coach (Led GSW to 39-4 start as interim head coach while Steve Kerr recovered from back surgery),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,waltolu01c,2016-17,36.0,NBA,LAL,82,26.0,56.0,0.317,-15.0,4.0,0.0,0.0,0.0,0.0
3,waltolu01c,2017-18,37.0,NBA,LAL,82,35.0,47.0,0.42700000000000005,-6.0,3.0,0.0,0.0,0.0,0.0
4,waltolu01c,Career,0.0,NBA,0,164,61.0,103.0,0.37200000000000005,-21.0,0.0,0.0,0.0,0.0,0.0
0,wanzebo01c,1955-56,34.0,NBA,ROC,72,31.0,41.0,0.431,-5.0,4.0,0.0,0.0,0.0,0.0
1,wanzebo01c,1956-57,35.0,NBA,ROC,72,31.0,41.0,0.431,-5.0,4.0,0.0,0.0,0.0,0.0
2,wanzebo01c,1957-58,36.0,NBA,CIN,72,33.0,39.0,0.45799999999999996,-3.0,3.0,2.0,0.0,2.0,0.0
3,wanzebo01c,1958-59,37.0,NBA,CIN,18,3.0,15.0,0.16699999999999998,-6.0,4.0,0.0,0.0,0.0,0.0
4,wanzebo01c,Career,0.0,NBA,0,234,98.0,136.0,0.419,-19.0,0.0,2.0,0.0,2.0,0.0
0,watsoea01c,2015-16,36.0,NBA,PHO,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,watsoea01c,2015-16,36.0,NBA,PHO,33,9.0,24.0,0.273,-7.5,4.0,0.0,0.0,0.0,0.0
2,watsoea01c,2016-17,37.0,NBA,PHO,82,24.0,58.0,0.293,-17.0,5.0,0.0,0.0,0.0,0.0
3,watsoea01c,2017-18,38.0,NBA,PHO,3,0.0,3.0,0.0,-1.5,5.0,0.0,0.0,0.0,0.0
4,watsoea01c,Career,0.0,NBA,0,118,33.0,85.0,0.28,-26.0,0.0,0.0,0.0,0.0,0.0
0,weissbo01c,1978-79,36.0,NBA,SDC,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,weissbo01c,1979-80,37.0,NBA,SDC,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,weissbo01c,1980-81,38.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,weissbo01c,1981-82,39.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,weissbo01c,1982-83,40.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,weissbo01c,1983-84,41.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,weissbo01c,1984-85,42.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,weissbo01c,1985-86,43.0,NBA,DAL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,weissbo01c,1986-87,44.0,NBA,SAS,82,28.0,54.0,0.341,-13.0,6.0,0.0,0.0,0.0,0.0
9,weissbo01c,1987-88,45.0,NBA,SAS,82,31.0,51.0,0.37799999999999995,-10.0,5.0,3.0,0.0,3.0,0.0
10,weissbo01c,1989-90,47.0,NBA,ORL,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,weissbo01c,1990-91,48.0,NBA,ATL,82,43.0,39.0,0.524,2.0,4.0,5.0,2.0,3.0,0.4
12,weissbo01c,1991-92,49.0,NBA,ATL,82,38.0,44.0,0.46299999999999997,-3.0,5.0,0.0,0.0,0.0,0.0
13,weissbo01c,1992-93,50.0,NBA,ATL,82,43.0,39.0,0.524,2.0,4.0,3.0,0.0,3.0,0.0
14,weissbo01c,1993-94,51.0,NBA,LAC,82,27.0,55.0,0.32899999999999996,-14.0,7.0,0.0,0.0,0.0,0.0
15,weissbo01c,1995-96,53.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,weissbo01c,1996-97,54.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,weissbo01c,1997-98,55.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,weissbo01c,1998-99,56.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,weissbo01c,1999-00,57.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,weissbo01c,2000-01,58.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,weissbo01c,2001-02,59.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,weissbo01c,2002-03,60.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,weissbo01c,2003-04,61.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,weissbo01c,2004-05,62.0,NBA,SEA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,weissbo01c,2005-06,63.0,NBA,SEA,30,13.0,17.0,0.433,-2.0,3.0,0.0,0.0,0.0,0.0
26,weissbo01c,2013-14,71.0,NBA,CHA,Assistant Coach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
