,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,0,101,93
1,2,Boston Celtics,0,122,116
2,3,New York Knicks,0,113,101
3,4,Detroit Pistons,1,125,123
4,5,Indiana Pacers,0,116,121
5,6,Indiana Pacers,1,97,104
6,7,Philadelphia 76ers,0,100,113
7,8,Kansas City Kings,0,119,109
8,9,New York Knicks,1,115,116
9,10,Philadelphia 76ers,1,96,107
10,11,Milwaukee Bucks,0,93,99
11,12,Washington Bullets,1,98,122
12,13,Boston Celtics,1,87,104
13,14,Chicago Bulls,1,100,103
14,15,New Jersey Nets,1,111,115
15,16,Los Angeles Lakers,0,97,126
16,17,Cleveland Cavaliers,1,111,114
17,18,Washington Bullets,0,88,100
18,19,San Antonio Spurs,0,97,93
19,20,Utah Jazz,0,99,93
21,21,Portland Trail Blazers,0,112,108
22,22,Indiana Pacers,1,89,110
23,23,Milwaukee Bucks,1,108,113
24,24,Detroit Pistons,0,95,98
25,25,Philadelphia 76ers,0,112,108
26,26,Boston Celtics,1,101,106
27,27,Philadelphia 76ers,1,100,104
28,28,Dallas Mavericks,0,110,104
29,29,San Diego Clippers,0,114,87
30,30,Detroit Pistons,1,100,92
31,31,Milwaukee Bucks,0,122,119
32,32,New Jersey Nets,0,131,114
33,33,Utah Jazz,1,109,97
34,34,Seattle SuperSonics,1,92,95
35,35,Portland Trail Blazers,1,119,122
36,36,Washington Bullets,0,100,83
37,37,New Jersey Nets,1,108,95
38,38,Boston Celtics,0,107,112
39,39,Detroit Pistons,0,96,89
40,40,Indiana Pacers,0,106,109
42,41,New York Knicks,1,95,131
43,42,Phoenix Suns,0,106,113
44,43,Milwaukee Bucks,1,95,98
45,44,Cleveland Cavaliers,0,107,108
46,45,Denver Nuggets,1,132,135
47,46,San Diego Clippers,1,85,106
48,47,Golden State Warriors,1,111,110
49,48,Phoenix Suns,1,86,120
50,49,Los Angeles Lakers,1,106,116
51,50,Cleveland Cavaliers,0,98,106
52,51,Chicago Bulls,0,102,104
53,52,Washington Bullets,0,104,105
54,53,New York Knicks,0,111,114
55,54,Philadelphia 76ers,0,93,97
56,55,Dallas Mavericks,1,100,98
57,56,Houston Rockets,1,81,87
58,57,Golden State Warriors,0,116,108
59,58,San Antonio Spurs,1,109,110
60,59,Kansas City Kings,1,106,113
61,60,Philadelphia 76ers,1,98,116
63,61,Indiana Pacers,1,99,96
64,62,Cleveland Cavaliers,1,118,105
65,63,Chicago Bulls,1,121,116
66,64,New York Knicks,0,117,120
67,65,Boston Celtics,0,102,132
68,66,Seattle SuperSonics,0,108,102
69,67,New York Knicks,1,100,93
70,68,Milwaukee Bucks,1,91,107
71,69,New Jersey Nets,0,109,106
72,70,Houston Rockets,0,114,108
73,71,Chicago Bulls,0,116,118
74,72,Detroit Pistons,1,97,100
75,73,Denver Nuggets,0,119,117
76,74,Cleveland Cavaliers,0,110,112
77,75,Cleveland Cavaliers,1,107,122
78,76,Boston Celtics,1,108,97
79,77,New Jersey Nets,1,96,108
80,78,Washington Bullets,1,101,121
81,79,Detroit Pistons,0,96,91
82,80,Indiana Pacers,0,107,115
84,81,Chicago Bulls,1,83,108
85,82,Milwaukee Bucks,0,128,132
