,G,Opponent,Home_away,Tm,Opp
0,1,Brooklyn Nets,0,99,92
1,2,Brooklyn Nets,0,96,91
2,3,Brooklyn Nets,1,83,91
3,4,Brooklyn Nets,1,115,120
4,5,Brooklyn Nets,0,107,97
5,6,Brooklyn Nets,1,111,87
7,7,Washington Wizards,0,98,104
8,8,Washington Wizards,0,106,90
9,9,Washington Wizards,1,101,103
10,10,Washington Wizards,1,106,101
11,11,Washington Wizards,0,82,81
12,12,Washington Wizards,1,94,91
14,13,Cleveland Cavaliers,0,89,97
15,14,Cleveland Cavaliers,0,82,94
16,15,Cleveland Cavaliers,1,111,114
17,16,Cleveland Cavaliers,1,88,118
