,G,Opponent,Home_away,Tm,Opp
0,1,Cleveland Cavaliers,0,101,115
1,2,Houston Rockets,0,108,114
2,3,Atlanta Hawks,1,116,99
3,4,New Orleans Jazz,1,115,120
4,5,Houston Rockets,1,101,118
5,6,San Antonio Spurs,1,109,132
6,7,New Jersey Nets,1,109,111
7,8,Chicago Bulls,0,118,112
8,9,San Antonio Spurs,0,103,110
9,10,Milwaukee Bucks,1,108,125
10,11,Portland Trail Blazers,0,109,112
11,12,Atlanta Hawks,0,103,115
12,13,New York Knicks,1,98,111
13,14,Detroit Pistons,0,123,128
14,15,Denver Nuggets,0,120,118
15,16,Cleveland Cavaliers,1,92,90
16,17,Washington Bullets,0,103,119
17,18,New York Knicks,0,109,98
18,19,San Diego Clippers,1,103,105
19,20,Portland Trail Blazers,1,97,102
21,21,Kansas City Kings,1,94,108
22,22,Seattle SuperSonics,0,87,80
23,23,Indiana Pacers,1,117,110
24,24,Detroit Pistons,1,114,112
25,25,San Diego Clippers,0,117,111
26,26,Phoenix Suns,0,104,124
27,27,Houston Rockets,1,105,112
28,28,New Orleans Jazz,0,102,96
29,29,Kansas City Kings,0,101,105
30,30,Washington Bullets,1,117,125
31,31,Indiana Pacers,0,121,105
32,32,Atlanta Hawks,0,124,105
33,33,Kansas City Kings,1,112,103
34,34,Phoenix Suns,1,109,112
35,35,Seattle SuperSonics,1,116,123
36,36,Golden State Warriors,1,98,113
37,37,Denver Nuggets,1,98,127
38,38,Los Angeles Lakers,0,89,99
39,39,Portland Trail Blazers,0,128,125
40,40,New Jersey Nets,0,100,110
42,41,Kansas City Kings,0,99,120
43,42,Milwaukee Bucks,0,103,102
44,43,Philadelphia 76ers,1,108,102
45,44,Philadelphia 76ers,0,87,91
46,45,Chicago Bulls,1,90,100
47,46,Washington Bullets,0,106,128
48,47,Indiana Pacers,1,106,119
49,48,Golden State Warriors,0,103,102
50,49,Houston Rockets,0,119,102
51,50,Cleveland Cavaliers,0,112,98
52,51,Atlanta Hawks,1,101,104
53,52,Seattle SuperSonics,0,107,100
54,53,Indiana Pacers,0,112,101
55,54,New York Knicks,1,106,102
56,55,New York Knicks,0,107,102
57,56,San Antonio Spurs,1,119,149
58,57,Portland Trail Blazers,1,104,111
59,58,Golden State Warriors,1,101,97
60,59,Los Angeles Lakers,1,104,113
61,60,San Diego Clippers,1,116,131
63,61,New Orleans Jazz,0,122,112
64,62,San Diego Clippers,0,99,106
65,63,Milwaukee Bucks,0,122,135
66,64,Philadelphia 76ers,1,107,114
67,65,Detroit Pistons,1,117,160
68,66,Los Angeles Lakers,0,108,106
69,67,Phoenix Suns,0,117,126
70,68,Detroit Pistons,0,99,98
71,69,Los Angeles Lakers,1,111,122
72,70,Phoenix Suns,1,113,134
73,71,Seattle SuperSonics,1,110,112
74,72,Denver Nuggets,1,113,137
75,73,Philadelphia 76ers,0,103,94
76,74,Cleveland Cavaliers,1,109,111
77,75,Milwaukee Bucks,1,117,135
78,76,Chicago Bulls,0,105,121
79,77,San Antonio Spurs,0,110,112
80,78,New Orleans Jazz,1,125,141
81,79,Washington Bullets,1,119,145
82,80,Denver Nuggets,0,101,107
84,81,New Jersey Nets,1,112,126
85,82,New Jersey Nets,0,127,101
