,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,0,108,104
1,2,Chicago Bulls,0,105,96
2,3,Chicago Bulls,1,105,94
4,4,Milwaukee Bucks,0,111,98
5,5,Milwaukee Bucks,0,126,124
6,6,Milwaukee Bucks,1,121,126
7,7,Milwaukee Bucks,1,138,137
8,8,Milwaukee Bucks,0,124,129
9,9,Milwaukee Bucks,1,111,121
10,10,Milwaukee Bucks,0,119,113
12,11,Detroit Pistons,0,104,91
13,12,Detroit Pistons,0,110,101
14,13,Detroit Pistons,1,104,122
15,14,Detroit Pistons,1,119,145
16,15,Detroit Pistons,0,108,107
17,16,Detroit Pistons,1,105,113
18,17,Detroit Pistons,0,117,114
20,18,Los Angeles Lakers,1,113,126
21,19,Los Angeles Lakers,1,122,141
22,20,Los Angeles Lakers,0,109,103
23,21,Los Angeles Lakers,0,106,107
24,22,Los Angeles Lakers,0,123,108
25,23,Los Angeles Lakers,1,93,106
