,G,Opponent,Home_away,Tm,Opp
0,1,Atlanta Hawks,1,106,111
1,2,Atlanta Hawks,0,79,69
2,3,Orlando Magic,0,81,89
3,4,Milwaukee Bucks,1,75,95
4,5,Miami Heat,1,72,95
5,6,Detroit Pistons,0,97,82
6,7,Houston Rockets,0,92,93
7,8,Cleveland Cavaliers,1,84,89
8,9,Indiana Pacers,1,79,80
9,10,New York Knicks,1,74,82
10,11,Portland Trail Blazers,0,85,94
11,12,Boston Celtics,0,92,101
12,13,Boston Celtics,1,99,97
13,14,Milwaukee Bucks,0,86,94
14,15,Charlotte Hornets,0,82,96
15,16,New York Knicks,1,86,97
16,17,Chicago Bulls,1,87,103
17,18,Indiana Pacers,1,82,93
18,19,Philadelphia 76ers,1,93,100
19,20,Miami Heat,1,76,102
21,21,Toronto Raptors,1,85,100
22,22,Dallas Mavericks,0,88,87
23,23,Chicago Bulls,1,95,104
24,24,Cleveland Cavaliers,1,85,88
25,25,Toronto Raptors,0,106,87
26,26,Detroit Pistons,0,71,84
27,27,Indiana Pacers,0,91,100
28,28,Cleveland Cavaliers,0,99,109
29,29,Orlando Magic,1,98,100
30,30,Atlanta Hawks,0,90,85
31,31,Miami Heat,0,88,77
32,32,Boston Celtics,1,91,79
33,33,Washington Wizards,1,97,93
34,34,Philadelphia 76ers,0,92,96
35,35,Toronto Raptors,0,106,99
36,36,New York Knicks,0,78,93
37,37,Los Angeles Clippers,1,101,109
38,38,Denver Nuggets,1,97,120
39,39,Seattle SuperSonics,1,121,91
40,40,Philadelphia 76ers,0,86,79
42,41,Charlotte Hornets,0,113,120
43,42,Chicago Bulls,0,99,87
44,43,Charlotte Hornets,1,82,97
45,44,Indiana Pacers,0,120,98
46,45,Miami Heat,0,76,95
47,46,Detroit Pistons,1,93,101
48,47,Orlando Magic,1,95,107
49,48,Washington Wizards,0,102,91
50,49,Washington Wizards,1,102,113
51,50,Milwaukee Bucks,0,115,107
