,G,Opponent,Home_away,Tm,Opp
0,1,Indiana Pacers,0,83,89
1,2,Indiana Pacers,0,95,79
2,3,Indiana Pacers,1,85,84
3,4,Indiana Pacers,1,74,97
4,5,Indiana Pacers,0,120,109
6,6,Charlotte Hornets,0,99,93
7,7,Charlotte Hornets,0,102,88
8,8,Charlotte Hornets,1,97,115
9,9,Charlotte Hornets,1,89,79
10,10,Charlotte Hornets,0,103,95
12,11,Boston Celtics,0,104,97
13,12,Boston Celtics,0,86,93
14,13,Boston Celtics,1,90,94
15,14,Boston Celtics,1,94,92
16,15,Boston Celtics,0,103,92
17,16,Boston Celtics,1,96,88
19,17,Los Angeles Lakers,1,94,99
20,18,Los Angeles Lakers,1,83,106
21,19,Los Angeles Lakers,0,103,106
22,20,Los Angeles Lakers,0,107,113
