,G,Opponent,Home_away,Tm,Opp
0,1,Kansas City-Omaha Kings,0,95,89
1,2,Kansas City-Omaha Kings,1,95,102
2,3,Kansas City-Omaha Kings,0,93,90
3,4,Kansas City-Omaha Kings,1,100,104
4,5,Kansas City-Omaha Kings,0,104,77
5,6,Kansas City-Omaha Kings,1,101,89
7,7,Golden State Warriors,1,89,107
8,8,Golden State Warriors,0,90,89
9,9,Golden State Warriors,0,108,101
10,10,Golden State Warriors,1,106,111
11,11,Golden State Warriors,1,89,79
12,12,Golden State Warriors,0,72,86
13,13,Golden State Warriors,1,79,83
