,G,Opponent,Home_away,Tm,Opp
0,1,Charlotte Hornets,1,124,123
1,2,Miami Heat,0,71,95
2,3,Atlanta Hawks,0,106,80
3,4,Milwaukee Bucks,1,91,90
4,5,Boston Celtics,0,97,98
5,6,Seattle SuperSonics,1,94,95
6,7,Portland Trail Blazers,1,98,120
7,8,Los Angeles Lakers,1,88,86
8,9,Sacramento Kings,1,101,103
9,10,Houston Rockets,1,93,100
10,11,San Antonio Spurs,1,84,109
11,12,Dallas Mavericks,1,108,85
12,13,Phoenix Suns,0,132,113
13,14,Miami Heat,1,104,99
14,15,Los Angeles Clippers,0,115,111
15,16,Philadelphia 76ers,1,88,95
16,17,New Jersey Nets,1,109,105
17,18,Cleveland Cavaliers,0,93,84
18,19,Boston Celtics,1,108,98
19,20,New York Knicks,0,98,86
21,21,San Antonio Spurs,0,102,90
22,22,Charlotte Hornets,0,109,97
23,23,Minnesota Timberwolves,0,106,98
24,24,Detroit Pistons,1,81,72
25,25,Orlando Magic,0,95,93
26,26,New Jersey Nets,0,94,86
27,27,Charlotte Hornets,1,95,115
28,28,Detroit Pistons,0,97,91
29,29,Orlando Magic,1,90,105
30,30,Washington Bullets,1,99,92
31,31,Dallas Mavericks,0,100,81
32,32,Atlanta Hawks,1,81,92
33,33,Utah Jazz,0,107,91
34,34,Houston Rockets,0,82,76
35,35,Philadelphia 76ers,0,121,91
36,36,Washington Bullets,0,84,83
37,37,Indiana Pacers,0,96,95
38,38,Indiana Pacers,1,90,81
39,39,Detroit Pistons,1,92,86
40,40,Cleveland Cavaliers,1,84,100
42,41,Milwaukee Bucks,0,113,96
43,42,Denver Nuggets,1,118,98
44,43,Utah Jazz,1,94,85
45,44,Golden State Warriors,1,101,99
46,45,Phoenix Suns,1,88,89
47,46,Los Angeles Clippers,1,118,89
48,47,Milwaukee Bucks,1,97,80
49,48,Miami Heat,0,101,109
50,49,Denver Nuggets,0,84,109
51,50,New York Knicks,1,68,86
52,51,Charlotte Hornets,0,118,93
53,52,Golden State Warriors,0,123,100
54,53,Washington Bullets,1,116,94
55,54,Indiana Pacers,0,86,96
56,55,Cleveland Cavaliers,0,81,89
57,56,Los Angeles Lakers,0,89,97
58,57,Portland Trail Blazers,0,96,115
59,58,Cleveland Cavaliers,1,95,99
60,59,Atlanta Hawks,0,116,95
61,60,Atlanta Hawks,1,77,108
63,61,Sacramento Kings,0,111,94
64,62,Orlando Magic,0,108,98
65,63,Boston Celtics,1,101,100
66,64,Seattle SuperSonics,0,87,84
67,65,Minnesota Timberwolves,1,90,80
68,66,New York Knicks,1,78,87
69,67,Philadelphia 76ers,1,99,87
70,68,New Jersey Nets,1,87,110
71,69,Indiana Pacers,0,90,88
72,70,Philadelphia 76ers,0,106,103
73,71,Detroit Pistons,0,102,95
74,72,Detroit Pistons,1,96,93
75,73,Washington Bullets,0,114,88
76,74,Indiana Pacers,1,100,94
77,75,Milwaukee Bucks,0,125,99
78,76,New Jersey Nets,0,111,105
79,77,Miami Heat,1,96,90
80,78,Charlotte Hornets,1,88,85
81,79,Orlando Magic,1,101,118
82,80,Atlanta Hawks,0,87,70
84,81,Boston Celtics,0,94,104
85,82,New York Knicks,0,76,92
