,G,Opponent,Home_away,Tm,Opp
0,1,Washington Bullets,0,96,116
1,2,Seattle SuperSonics,1,88,128
2,3,Utah Jazz,1,86,102
3,4,Los Angeles Lakers,1,100,106
4,5,Golden State Warriors,1,104,115
5,6,Orlando Magic,0,130,116
6,7,Philadelphia 76ers,1,96,109
7,8,Golden State Warriors,0,99,98
8,9,Miami Heat,0,87,98
9,10,Houston Rockets,0,81,85
10,11,Minnesota Timberwolves,0,81,73
11,12,New York Knicks,1,108,119
12,13,Dallas Mavericks,1,83,102
13,14,Houston Rockets,1,101,113
14,15,San Antonio Spurs,1,110,118
15,16,Boston Celtics,0,101,114
16,17,Portland Trail Blazers,0,86,96
17,18,Denver Nuggets,0,93,106
18,19,Los Angeles Lakers,0,89,103
19,20,Washington Bullets,1,101,105
21,21,Chicago Bulls,1,104,115
22,22,Dallas Mavericks,0,102,97
23,23,Utah Jazz,0,100,114
24,24,San Antonio Spurs,0,82,107
25,25,Cleveland Cavaliers,0,94,92
26,26,Houston Rockets,0,111,92
27,27,Minnesota Timberwolves,1,98,100
28,28,Indiana Pacers,0,117,111
29,29,Milwaukee Bucks,1,113,126
30,30,Los Angeles Clippers,0,98,108
31,31,New Jersey Nets,1,101,109
32,32,Chicago Bulls,0,95,107
33,33,Phoenix Suns,1,108,118
34,34,Los Angeles Clippers,1,98,106
35,35,Denver Nuggets,1,110,108
36,36,Utah Jazz,1,93,116
37,37,Portland Trail Blazers,1,100,115
38,38,Atlanta Hawks,0,101,106
39,39,Phoenix Suns,0,97,124
40,40,Sacramento Kings,0,85,92
42,41,San Antonio Spurs,1,95,129
43,42,San Antonio Spurs,0,107,118
44,43,Seattle SuperSonics,0,100,101
45,44,Boston Celtics,1,125,146
46,45,Utah Jazz,0,74,94
47,46,Indiana Pacers,1,105,128
48,47,Minnesota Timberwolves,1,86,95
49,48,Denver Nuggets,0,113,107
50,49,Seattle SuperSonics,0,70,85
51,50,Portland Trail Blazers,0,94,104
52,51,Milwaukee Bucks,0,100,104
53,52,Cleveland Cavaliers,1,86,102
54,53,Orlando Magic,1,109,115
55,54,Los Angeles Clippers,0,118,109
56,55,Sacramento Kings,0,103,104
57,56,Golden State Warriors,1,117,138
58,57,Denver Nuggets,1,96,122
59,58,Sacramento Kings,1,102,111
60,59,Detroit Pistons,0,88,98
61,60,Los Angeles Lakers,0,102,107
63,61,Seattle SuperSonics,1,100,103
64,62,Portland Trail Blazers,1,109,124
65,63,Los Angeles Clippers,1,108,97
66,64,Los Angeles Lakers,1,97,109
67,65,Phoenix Suns,1,115,114
68,66,New York Knicks,0,106,93
69,67,Atlanta Hawks,1,109,122
70,68,New Jersey Nets,0,97,83
71,69,Detroit Pistons,1,97,106
72,70,Phoenix Suns,0,92,105
73,71,Sacramento Kings,1,115,103
74,72,Utah Jazz,1,104,127
75,73,Denver Nuggets,1,116,112
76,74,Minnesota Timberwolves,0,108,93
77,75,Golden State Warriors,0,110,109
78,76,Houston Rockets,0,112,115
79,77,Houston Rockets,1,110,117
80,78,Philadelphia 76ers,0,102,109
81,79,San Antonio Spurs,0,101,110
82,80,Miami Heat,1,98,91
84,81,Dallas Mavericks,0,102,111
85,82,Dallas Mavericks,1,107,118
