,G,Opponent,Home_away,Tm,Opp
0,1,New Jersey Nets,1,114,108
1,2,Atlanta Hawks,1,105,113
2,3,Milwaukee Bucks,0,101,109
3,4,Boston Celtics,1,114,128
4,5,Detroit Pistons,0,113,128
5,6,Boston Celtics,0,109,88
6,7,Houston Rockets,0,97,105
7,8,Philadelphia 76ers,0,101,88
8,9,Philadelphia 76ers,1,104,108
9,10,New York Knicks,0,101,104
10,11,New York Knicks,1,93,105
11,12,Seattle SuperSonics,0,104,102
12,13,Indiana Pacers,1,108,90
13,14,Los Angeles Lakers,0,97,95
14,15,Seattle SuperSonics,1,96,107
15,16,Golden State Warriors,1,112,113
16,17,Sacramento Kings,1,115,113
17,18,Los Angeles Lakers,1,89,90
18,19,Dallas Mavericks,0,106,93
19,20,Chicago Bulls,1,100,111
21,21,New Jersey Nets,0,103,94
22,22,Indiana Pacers,0,127,116
23,23,Washington Bullets,1,106,102
24,24,Utah Jazz,0,83,91
25,25,Portland Trail Blazers,0,120,117
26,26,New Jersey Nets,1,83,101
27,27,Atlanta Hawks,0,110,117
28,28,Phoenix Suns,0,120,107
29,29,Denver Nuggets,0,122,101
30,30,Los Angeles Clippers,0,116,100
31,31,Atlanta Hawks,1,97,101
32,32,Philadelphia 76ers,1,110,126
33,33,New York Knicks,0,119,111
34,34,Chicago Bulls,0,91,88
35,35,Detroit Pistons,1,93,97
36,36,Milwaukee Bucks,1,93,111
37,37,Atlanta Hawks,0,93,101
38,38,Boston Celtics,0,119,100
39,39,Utah Jazz,1,96,119
40,40,San Antonio Spurs,1,112,102
42,41,Houston Rockets,1,109,85
43,42,Washington Bullets,0,128,126
44,43,Detroit Pistons,0,94,83
45,44,Washington Bullets,1,107,106
46,45,Golden State Warriors,0,90,96
47,46,Milwaukee Bucks,1,104,112
48,47,Washington Bullets,0,118,102
49,48,New Jersey Nets,0,98,96
50,49,New York Knicks,1,103,120
51,50,Sacramento Kings,0,104,95
52,51,Philadelphia 76ers,1,115,107
53,52,Indiana Pacers,1,83,88
54,53,Chicago Bulls,0,113,111
55,54,Dallas Mavericks,1,89,93
56,55,Phoenix Suns,1,103,109
57,56,Los Angeles Clippers,1,96,97
58,57,Portland Trail Blazers,1,94,107
59,58,Denver Nuggets,1,81,99
60,59,Boston Celtics,1,98,127
61,60,Milwaukee Bucks,0,117,91
63,61,San Antonio Spurs,0,117,107
64,62,Detroit Pistons,1,100,104
65,63,New York Knicks,1,102,104
66,64,Chicago Bulls,1,89,108
67,65,Detroit Pistons,0,99,102
68,66,Milwaukee Bucks,1,100,101
69,67,New Jersey Nets,0,105,96
70,68,Chicago Bulls,0,110,111
71,69,Atlanta Hawks,1,102,109
72,70,New York Knicks,0,108,103
73,71,Washington Bullets,1,107,96
74,72,Indiana Pacers,0,108,94
75,73,Indiana Pacers,1,105,106
76,74,Washington Bullets,0,98,87
77,75,Milwaukee Bucks,0,104,85
78,76,New Jersey Nets,1,119,105
79,77,Atlanta Hawks,0,116,103
80,78,Detroit Pistons,1,98,115
81,79,Boston Celtics,0,120,109
82,80,Indiana Pacers,0,112,107
84,81,Chicago Bulls,1,107,103
85,82,Philadelphia 76ers,0,104,99
