,G,Opponent,Home_away,Tm,Opp
0,1,Indiana Pacers,0,109,108
1,2,Indiana Pacers,0,117,111
2,3,Indiana Pacers,1,119,114
3,4,Indiana Pacers,1,106,102
5,5,Toronto Raptors,0,116,105
6,6,Toronto Raptors,0,125,103
7,7,Toronto Raptors,1,115,94
8,8,Toronto Raptors,1,109,102
10,9,Boston Celtics,1,117,104
11,10,Boston Celtics,1,130,86
12,11,Boston Celtics,0,108,111
13,12,Boston Celtics,0,112,99
14,13,Boston Celtics,1,135,102
16,14,Golden State Warriors,1,91,113
17,15,Golden State Warriors,1,113,132
18,16,Golden State Warriors,0,113,118
19,17,Golden State Warriors,0,137,116
20,18,Golden State Warriors,1,120,129
