,G,Opponent,Home_away,Tm,Opp
0,1,Golden State Warriors,0,108,96
1,2,Seattle SuperSonics,1,96,106
2,3,Golden State Warriors,1,120,97
3,4,Los Angeles Lakers,1,97,105
4,5,Los Angeles Lakers,0,101,123
5,6,Miami Heat,1,105,128
6,7,Orlando Magic,0,125,117
7,8,Houston Rockets,0,114,95
8,9,Charlotte Hornets,1,99,104
9,10,Sacramento Kings,0,94,103
10,11,San Antonio Spurs,1,90,106
11,12,Houston Rockets,1,99,119
12,13,Orlando Magic,1,100,112
13,14,Chicago Bulls,0,95,83
14,15,New York Knicks,1,82,107
15,16,Cleveland Cavaliers,1,99,106
16,17,Chicago Bulls,1,101,95
17,18,Minnesota Timberwolves,1,103,84
18,19,Milwaukee Bucks,1,97,103
19,20,Vancouver Grizzlies,0,95,104
21,21,Utah Jazz,1,79,85
22,22,Phoenix Suns,0,120,115
23,23,San Antonio Spurs,0,93,111
24,24,New York Knicks,0,93,100
25,25,Minnesota Timberwolves,0,104,108
26,26,Miami Heat,0,89,92
27,27,Phoenix Suns,1,111,110
28,28,Sacramento Kings,1,111,118
29,29,Los Angeles Lakers,1,106,108
30,30,Toronto Raptors,0,104,109
31,31,Denver Nuggets,1,96,98
32,32,Utah Jazz,0,92,105
33,33,Atlanta Hawks,0,95,85
34,34,Portland Trail Blazers,1,94,107
35,35,Golden State Warriors,1,109,102
36,36,Portland Trail Blazers,0,113,105
37,37,Houston Rockets,0,111,121
38,38,Washington Wizards,1,104,86
39,39,New Jersey Nets,1,95,98
40,40,Detroit Pistons,1,99,91
42,41,Golden State Warriors,0,117,103
43,42,Los Angeles Clippers,0,99,90
44,43,Denver Nuggets,0,107,96
45,44,Philadelphia 76ers,0,100,101
46,45,Charlotte Hornets,0,106,96
47,46,Los Angeles Clippers,1,119,106
48,47,Vancouver Grizzlies,1,103,99
49,48,Seattle SuperSonics,0,106,117
50,49,Milwaukee Bucks,0,99,112
51,50,Detroit Pistons,0,106,97
52,51,Toronto Raptors,1,100,96
53,52,Indiana Pacers,1,93,94
54,53,Utah Jazz,0,85,92
55,54,Denver Nuggets,0,98,96
56,55,Boston Celtics,1,108,100
57,56,Philadelphia 76ers,1,87,106
58,57,New Jersey Nets,0,102,103
59,58,Phoenix Suns,1,96,110
60,59,Sacramento Kings,1,109,130
61,60,Seattle SuperSonics,1,86,101
63,61,Minnesota Timberwolves,0,79,100
64,62,Phoenix Suns,0,104,99
65,63,Indiana Pacers,0,111,90
66,64,San Antonio Spurs,1,110,88
67,65,Boston Celtics,0,99,104
68,66,Atlanta Hawks,1,89,85
69,67,San Antonio Spurs,0,97,96
70,68,Cleveland Cavaliers,0,98,104
71,69,Washington Wizards,0,86,93
72,70,Utah Jazz,1,113,105
73,71,Los Angeles Clippers,1,112,102
74,72,Portland Trail Blazers,1,85,96
75,73,Vancouver Grizzlies,1,100,86
76,74,Sacramento Kings,0,105,102
77,75,Denver Nuggets,1,116,115
78,76,Los Angeles Clippers,0,98,96
79,77,Portland Trail Blazers,0,92,81
80,78,Houston Rockets,1,102,111
81,79,Seattle SuperSonics,0,117,103
82,80,Vancouver Grizzlies,0,114,106
84,81,Los Angeles Lakers,0,112,102
85,82,Minnesota Timberwolves,1,113,107
