,G,Opponent,Home_away,Tm,Opp
0,1,Memphis Grizzlies,0,103,93
1,2,Memphis Grizzlies,0,94,79
2,3,Memphis Grizzlies,1,94,89
3,4,Memphis Grizzlies,1,102,76
5,5,San Antonio Spurs,1,85,87
6,6,San Antonio Spurs,1,113,91
7,7,San Antonio Spurs,0,104,103
8,8,San Antonio Spurs,0,123,118
9,9,San Antonio Spurs,1,97,98
10,10,San Antonio Spurs,0,86,91
11,11,San Antonio Spurs,1,119,111
13,12,Phoenix Suns,0,118,121
14,13,Phoenix Suns,0,105,98
15,14,Phoenix Suns,1,95,88
16,15,Phoenix Suns,1,86,106
17,16,Phoenix Suns,0,117,101
18,17,Phoenix Suns,1,102,93
20,18,Miami Heat,0,90,80
21,19,Miami Heat,0,99,85
22,20,Miami Heat,1,96,98
23,21,Miami Heat,1,74,98
24,22,Miami Heat,1,100,101
25,23,Miami Heat,0,92,95
