,G,Opponent,Home_away,Tm,Opp
0,1,San Antonio Spurs,0,141,111
1,2,San Antonio Spurs,0,111,113
2,3,San Antonio Spurs,1,115,112
3,4,San Antonio Spurs,1,111,116
4,5,San Antonio Spurs,0,126,99
6,6,Utah Jazz,0,130,113
7,7,Utah Jazz,0,131,123
8,8,Utah Jazz,1,123,131
9,9,Utah Jazz,1,125,118
10,10,Utah Jazz,0,116,104
12,11,Los Angeles Lakers,1,122,139
13,12,Los Angeles Lakers,1,136,114
14,13,Los Angeles Lakers,0,118,136
15,14,Los Angeles Lakers,0,116,120
16,15,Los Angeles Lakers,1,109,153
