,G,Opponent,Home_away,Tm,Opp
0,1,Sacramento Kings,1,88,90
1,2,Portland Trail Blazers,0,98,113
2,3,San Antonio Spurs,0,94,102
3,4,Atlanta Hawks,0,109,107
4,5,Phoenix Suns,1,103,114
5,6,Utah Jazz,1,100,81
6,7,Los Angeles Lakers,0,111,99
7,8,Minnesota Timberwolves,0,117,113
8,9,Houston Rockets,1,111,122
9,10,Oklahoma City Thunder,1,113,115
10,11,Chicago Bulls,0,97,87
11,12,Dallas Mavericks,0,102,100
12,13,Dallas Mavericks,1,110,96
13,14,Minnesota Timberwolves,1,117,110
14,15,New York Knicks,0,97,95
15,16,Toronto Raptors,1,112,98
16,17,Brooklyn Nets,1,111,87
17,18,Cleveland Cavaliers,1,88,98
18,19,Boston Celtics,1,98,106
19,20,Philadelphia 76ers,1,103,92
21,21,Washington Wizards,1,75,74
22,22,Utah Jazz,0,93,103
23,23,New Orleans Pelicans,0,102,93
24,24,Oklahoma City Thunder,0,93,105
25,25,Phoenix Suns,0,99,103
26,26,Los Angeles Clippers,1,91,112
27,27,Golden State Warriors,0,81,89
28,28,New Orleans Pelicans,1,89,105
29,29,Memphis Grizzlies,1,99,120
30,30,Miami Heat,0,94,97
31,31,Philadelphia 76ers,0,102,114
32,32,Memphis Grizzlies,0,111,108
33,33,Los Angeles Lakers,1,137,115
34,34,Boston Celtics,0,129,98
35,35,Oklahoma City Thunder,0,101,88
36,36,Orlando Magic,0,120,94
37,37,Utah Jazz,1,103,118
38,38,Golden State Warriors,1,123,116
39,39,Cleveland Cavaliers,0,109,117
40,40,Phoenix Suns,1,103,117
42,41,Portland Trail Blazers,1,105,110
43,42,Indiana Pacers,0,109,96
44,43,Sacramento Kings,1,125,117
45,44,Charlotte Bobcats,0,98,101
46,45,Toronto Raptors,0,90,100
47,46,Los Angeles Clippers,0,116,115
48,47,Milwaukee Bucks,0,110,100
49,48,New York Knicks,1,90,117
50,49,Detroit Pistons,1,109,126
51,50,Indiana Pacers,1,80,119
52,51,Minnesota Timberwolves,1,90,117
53,52,Phoenix Suns,0,107,112
54,53,Milwaukee Bucks,1,101,90
55,54,Chicago Bulls,1,89,117
56,55,Sacramento Kings,0,95,109
57,56,Portland Trail Blazers,0,95,100
58,57,Brooklyn Nets,0,89,112
59,58,Portland Trail Blazers,1,96,102
60,59,Minnesota Timberwolves,0,128,132
61,60,Dallas Mavericks,0,115,110
63,61,Los Angeles Lakers,0,134,126
64,62,New Orleans Pelicans,1,107,111
65,63,Charlotte Bobcats,1,98,105
66,64,Orlando Magic,1,120,112
67,65,Miami Heat,1,111,107
68,66,Atlanta Hawks,1,92,97
69,67,Los Angeles Clippers,0,110,100
70,68,Detroit Pistons,0,118,109
71,69,Dallas Mavericks,1,106,122
72,70,Washington Wizards,0,105,102
73,71,Oklahoma City Thunder,1,96,117
74,72,San Antonio Spurs,1,103,108
75,73,San Antonio Spurs,0,102,133
76,74,Memphis Grizzlies,0,92,94
77,75,New Orleans Pelicans,0,137,107
78,76,Memphis Grizzlies,1,92,100
79,77,Houston Rockets,1,125,130
80,78,Houston Rockets,0,123,116
81,79,Golden State Warriors,1,100,99
82,80,Utah Jazz,0,101,94
84,81,Los Angeles Clippers,1,105,117
85,82,Golden State Warriors,0,112,116
