,G,Opponent,Home_away,Tm,Opp
0,1,Philadelphia 76ers,0,86,90
1,2,Philadelphia 76ers,0,105,88
2,3,Philadelphia 76ers,1,75,95
3,4,Philadelphia 76ers,1,93,84
4,5,Philadelphia 76ers,0,98,81
5,6,Philadelphia 76ers,1,100,77
7,7,Orlando Magic,0,91,72
8,8,Orlando Magic,0,100,93
9,9,Orlando Magic,1,86,111
10,10,Orlando Magic,1,90,89
11,11,Orlando Magic,0,91,86
13,12,Boston Celtics,1,79,88
14,13,Boston Celtics,1,103,97
15,14,Boston Celtics,0,80,94
16,15,Boston Celtics,0,94,75
17,16,Boston Celtics,1,102,106
18,17,Boston Celtics,0,81,89
