,G,Opponent,Home_away,Tm,Opp
0,1,Washington Wizards,0,113,102
1,2,Memphis Grizzlies,1,108,111
2,3,Boston Celtics,0,87,77
3,4,Indiana Pacers,0,91,99
4,5,Oklahoma City Thunder,0,110,119
5,6,Portland Trail Blazers,1,103,109
6,7,Golden State Warriors,1,95,113
7,8,Sacramento Kings,1,97,90
8,9,Los Angeles Lakers,1,99,114
9,10,New York Knicks,0,92,86
10,11,Atlanta Hawks,1,85,93
11,12,Atlanta Hawks,0,89,96
12,13,Brooklyn Nets,1,109,97
13,14,Milwaukee Bucks,0,113,94
14,15,Chicago Bulls,0,79,99
15,16,Los Angeles Lakers,0,102,106
16,17,Philadelphia 76ers,0,115,100
17,18,Miami Heat,1,107,97
18,19,Milwaukee Bucks,1,105,98
19,20,Chicago Bulls,1,92,75
21,21,Miami Heat,0,95,110
22,22,Minnesota Timberwolves,0,94,121
23,23,New Orleans Pelicans,1,106,111
24,24,Brooklyn Nets,0,103,99
25,25,Portland Trail Blazers,0,109,111
26,26,Indiana Pacers,1,101,96
27,27,Boston Celtics,1,107,106
28,28,Charlotte Bobcats,0,106,116
29,29,Houston Rockets,0,97,114
30,30,Cleveland Cavaliers,1,115,92
31,31,Orlando Magic,1,92,109
32,32,Washington Wizards,1,82,106
33,33,Washington Wizards,0,99,106
34,34,Memphis Grizzlies,0,84,112
35,35,New York Knicks,1,85,89
36,36,Toronto Raptors,1,91,112
37,37,Philadelphia 76ers,1,114,104
38,38,Phoenix Suns,0,110,108
39,39,Utah Jazz,0,89,110
40,40,Washington Wizards,1,104,98
42,41,Los Angeles Clippers,0,103,112
43,42,Milwaukee Bucks,1,101,104
44,43,New Orleans Pelicans,0,101,103
45,44,Dallas Mavericks,1,106,116
46,45,Orlando Magic,0,103,87
47,46,Philadelphia 76ers,0,113,96
48,47,Miami Heat,1,96,102
49,48,Orlando Magic,1,98,112
50,49,Brooklyn Nets,0,111,95
51,50,Denver Nuggets,0,126,109
52,51,San Antonio Spurs,0,109,100
53,52,Cleveland Cavaliers,0,89,93
54,53,Charlotte Bobcats,0,96,108
55,54,Charlotte Bobcats,1,98,116
56,55,Atlanta Hawks,0,115,107
57,56,Dallas Mavericks,0,102,113
58,57,Golden State Warriors,0,96,104
59,58,San Antonio Spurs,1,110,120
60,59,Houston Rockets,1,110,118
61,60,New York Knicks,0,96,85
63,61,Chicago Bulls,0,94,105
64,62,Minnesota Timberwolves,1,101,114
65,63,Boston Celtics,1,111,118
66,64,Sacramento Kings,0,99,89
67,65,Toronto Raptors,1,87,101
68,66,Indiana Pacers,0,104,112
69,67,Denver Nuggets,1,109,118
70,68,Phoenix Suns,1,92,98
71,69,Los Angeles Clippers,1,103,112
72,70,Utah Jazz,1,114,94
73,71,Cleveland Cavaliers,0,96,97
74,72,Miami Heat,0,78,110
75,73,Philadelphia 76ers,1,98,123
76,74,Milwaukee Bucks,0,116,111
77,75,Indiana Pacers,1,94,101
78,76,Brooklyn Nets,1,104,116
79,77,Boston Celtics,0,115,111
80,78,Atlanta Hawks,1,102,95
81,79,Cleveland Cavaliers,1,100,122
82,80,Chicago Bulls,1,98,106
84,81,Toronto Raptors,0,107,116
85,82,Oklahoma City Thunder,1,111,112
