,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Lakers,0,115,122
1,2,Cincinnati Royals,1,100,99
2,3,Baltimore Bullets,1,123,108
3,4,New York Knicks,0,110,100
4,5,Los Angeles Lakers,1,124,122
5,6,New York Knicks,0,103,104
6,7,Cincinnati Royals,1,108,122
7,8,Philadelphia 76ers,0,121,119
8,9,Philadelphia 76ers,1,115,133
9,10,Detroit Pistons,0,110,100
10,11,Detroit Pistons,0,107,102
11,12,Philadelphia 76ers,0,101,109
12,13,Detroit Pistons,1,103,102
13,14,St. Louis Hawks,1,113,138
14,15,Baltimore Bullets,0,123,112
15,16,Boston Celtics,0,105,108
16,17,Los Angeles Lakers,1,124,135
17,18,Los Angeles Lakers,0,117,133
18,19,St. Louis Hawks,0,112,108
19,20,New York Knicks,1,134,125
21,21,St. Louis Hawks,1,113,119
22,22,Philadelphia 76ers,0,120,132
23,23,Philadelphia 76ers,0,117,124
24,24,Cincinnati Royals,0,125,119
25,25,St. Louis Hawks,0,99,113
26,26,Detroit Pistons,1,113,115
27,27,Cincinnati Royals,0,110,109
28,28,Baltimore Bullets,1,127,145
29,29,Boston Celtics,1,106,143
30,30,New York Knicks,1,137,141
31,31,St. Louis Hawks,0,128,113
32,32,St. Louis Hawks,0,102,103
33,33,Philadelphia 76ers,0,116,120
34,34,Los Angeles Lakers,1,120,132
35,35,Philadelphia 76ers,0,124,118
36,36,Detroit Pistons,0,114,104
37,37,Cincinnati Royals,1,113,119
38,38,Philadelphia 76ers,1,107,121
39,39,Detroit Pistons,0,120,107
40,40,Baltimore Bullets,1,111,144
42,41,Boston Celtics,0,113,116
43,42,Detroit Pistons,0,136,113
44,43,Baltimore Bullets,0,122,111
45,44,New York Knicks,0,118,117
46,45,Boston Celtics,0,114,115
47,46,Boston Celtics,0,96,124
48,47,New York Knicks,0,122,114
49,48,Los Angeles Lakers,0,110,118
50,49,Los Angeles Lakers,1,120,109
51,50,Cincinnati Royals,0,112,135
52,51,St. Louis Hawks,1,107,142
53,52,New York Knicks,0,103,115
54,53,St. Louis Hawks,1,114,104
55,54,Baltimore Bullets,0,108,95
56,55,Baltimore Bullets,0,131,118
57,56,Cincinnati Royals,0,127,125
58,57,Cincinnati Royals,0,116,117
59,58,Boston Celtics,0,107,112
60,59,Detroit Pistons,0,113,103
61,60,Boston Celtics,0,128,117
63,61,Boston Celtics,1,96,99
64,62,Baltimore Bullets,1,127,136
65,63,New York Knicks,0,125,138
66,64,New York Knicks,0,108,112
67,65,Boston Celtics,0,128,106
68,66,Philadelphia 76ers,0,119,123
69,67,Boston Celtics,0,108,116
70,68,Cincinnati Royals,0,125,119
71,69,Cincinnati Royals,0,103,112
72,70,New York Knicks,1,114,112
73,71,Detroit Pistons,1,118,131
74,72,Philadelphia 76ers,1,125,135
75,73,Los Angeles Lakers,0,123,125
76,74,Baltimore Bullets,0,109,130
77,75,Baltimore Bullets,0,125,115
78,76,Detroit Pistons,0,121,119
79,77,St. Louis Hawks,0,109,110
80,78,St. Louis Hawks,0,116,112
81,79,Los Angeles Lakers,0,125,119
82,80,Los Angeles Lakers,1,112,124
