,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Lakers,0,124,108
1,2,Los Angeles Lakers,1,113,102
2,3,Los Angeles Lakers,0,122,115
4,4,St. Louis Hawks,0,117,115
5,5,St. Louis Hawks,0,143,136
6,6,St. Louis Hawks,1,109,115
7,7,St. Louis Hawks,1,104,109
8,8,St. Louis Hawks,0,123,102
9,9,St. Louis Hawks,1,112,107
11,10,Philadelphia 76ers,1,135,141
12,11,Philadelphia 76ers,1,95,126
13,12,Philadelphia 76ers,0,130,124
14,13,Philadelphia 76ers,0,108,122
15,14,Philadelphia 76ers,1,117,109
16,15,Philadelphia 76ers,0,122,125
