,G,Opponent,Home_away,Tm,Opp
0,1,Sacramento Kings,0,96,85
1,2,Phoenix Suns,1,110,95
2,3,Utah Jazz,1,75,72
3,4,Sacramento Kings,1,102,80
4,5,Denver Nuggets,1,110,108
5,6,Utah Jazz,0,91,85
6,7,Los Angeles Lakers,0,115,126
7,8,Indiana Pacers,0,90,88
8,9,Golden State Warriors,0,115,103
9,10,Minnesota Timberwolves,0,122,93
10,11,Phoenix Suns,0,115,105
11,12,Golden State Warriors,1,120,115
12,13,Los Angeles Lakers,1,90,85
13,14,Portland Trail Blazers,0,102,101
14,15,Boston Celtics,1,120,94
15,16,Washington Bullets,1,103,99
16,17,Toronto Raptors,1,89,100
17,18,Boston Celtics,0,94,89
18,19,Philadelphia 76ers,0,123,108
19,20,Minnesota Timberwolves,1,96,94
21,21,Detroit Pistons,0,115,96
22,22,Seattle SuperSonics,1,109,100
23,23,Portland Trail Blazers,1,99,89
24,24,Vancouver Grizzlies,1,92,93
25,25,San Antonio Spurs,0,101,115
26,26,Miami Heat,0,66,86
27,27,Milwaukee Bucks,0,76,81
28,28,Milwaukee Bucks,1,101,90
29,29,Golden State Warriors,0,104,95
30,30,Seattle SuperSonics,0,99,91
31,31,Portland Trail Blazers,0,96,112
32,32,Los Angeles Clippers,0,91,95
33,33,Minnesota Timberwolves,1,104,95
34,34,Cleveland Cavaliers,1,81,78
35,35,Philadelphia 76ers,1,120,99
36,36,Chicago Bulls,1,86,110
37,37,New York Knicks,0,106,86
38,38,Sacramento Kings,0,89,80
39,39,Dallas Mavericks,1,88,78
40,40,Chicago Bulls,0,102,86
42,41,Charlotte Hornets,1,108,114
43,42,New Jersey Nets,0,111,104
44,43,Utah Jazz,0,100,105
45,44,Denver Nuggets,0,109,113
46,45,Indiana Pacers,1,74,100
47,46,Orlando Magic,1,90,103
48,47,New York Knicks,1,95,99
49,48,Detroit Pistons,1,87,96
50,49,Vancouver Grizzlies,0,106,97
51,50,Seattle SuperSonics,1,85,105
52,51,Portland Trail Blazers,1,105,109
53,52,Atlanta Hawks,0,127,98
54,53,Toronto Raptors,0,107,97
55,54,Atlanta Hawks,1,74,76
56,55,San Antonio Spurs,0,95,85
57,56,Los Angeles Lakers,0,100,96
58,57,Charlotte Hornets,0,95,106
59,58,Dallas Mavericks,0,89,80
60,59,Los Angeles Clippers,1,113,109
61,60,Golden State Warriors,1,90,85
63,61,Los Angeles Lakers,1,111,90
64,62,Dallas Mavericks,1,88,83
65,63,San Antonio Spurs,1,103,79
66,64,Orlando Magic,0,95,96
67,65,Miami Heat,1,80,101
68,66,New Jersey Nets,1,97,89
69,67,Washington Bullets,0,96,90
70,68,Phoenix Suns,0,99,104
71,69,Minnesota Timberwolves,0,112,103
72,70,Cleveland Cavaliers,0,107,89
73,71,Denver Nuggets,0,120,105
74,72,Denver Nuggets,1,116,99
75,73,Phoenix Suns,1,96,109
76,74,Sacramento Kings,1,108,94
77,75,Vancouver Grizzlies,1,94,85
78,76,Los Angeles Clippers,1,127,117
79,77,Vancouver Grizzlies,0,102,94
80,78,Utah Jazz,1,83,104
81,79,Seattle SuperSonics,0,113,73
82,80,Los Angeles Clippers,0,123,119
84,81,Dallas Mavericks,0,112,102
85,82,San Antonio Spurs,1,103,99
