,G,Opponent,Home_away,Tm,Opp
0,1,Dallas Mavericks,0,118,108
1,2,Dallas Mavericks,0,111,99
2,3,Dallas Mavericks,1,130,128
3,4,Dallas Mavericks,1,109,121
4,5,Dallas Mavericks,0,103,94
6,6,Los Angeles Clippers,0,101,117
7,7,Los Angeles Clippers,0,115,109
8,8,Los Angeles Clippers,1,99,124
9,9,Los Angeles Clippers,1,95,128
10,10,Los Angeles Clippers,0,124,103
11,11,Los Angeles Clippers,1,119,107
12,12,Los Angeles Clippers,0,113,100
14,13,Golden State Warriors,1,106,110
15,14,Golden State Warriors,1,98,99
16,15,Golden State Warriors,0,80,115
17,16,Golden State Warriors,0,128,115
18,17,Golden State Warriors,1,90,104
