,G,Opponent,Home_away,Tm,Opp
0,1,Atlanta Hawks,1,126,103
1,2,Cleveland Cavaliers,0,106,98
2,3,Detroit Pistons,0,95,74
3,4,Miami Heat,0,102,98
4,5,Los Angeles Lakers,1,94,117
5,6,Utah Jazz,1,100,114
6,7,Sacramento Kings,1,102,107
7,8,Boston Celtics,0,119,111
8,9,Boston Celtics,1,118,111
9,10,Philadelphia 76ers,0,103,111
10,11,Milwaukee Bucks,1,101,97
11,12,Utah Jazz,0,100,88
12,13,Orlando Magic,0,125,110
13,14,Denver Nuggets,0,136,117
14,15,Chicago Bulls,0,106,104
15,16,Detroit Pistons,1,93,121
16,17,Minnesota Timberwolves,0,113,112
17,18,New Jersey Nets,1,102,78
18,19,Milwaukee Bucks,0,98,103
19,20,Portland Trail Blazers,1,113,121
21,21,Los Angeles Clippers,1,102,128
22,22,Phoenix Suns,1,131,130
23,23,Golden State Warriors,1,124,150
24,24,Seattle SuperSonics,1,98,95
25,25,Orlando Magic,0,98,90
26,26,Orlando Magic,1,106,101
27,27,Houston Rockets,0,103,97
28,28,Atlanta Hawks,0,105,98
29,29,Dallas Mavericks,1,106,110
30,30,Houston Rockets,1,103,117
31,31,Detroit Pistons,1,99,122
32,32,Charlotte Hornets,1,111,117
33,33,Philadelphia 76ers,1,116,120
34,34,Chicago Bulls,0,120,113
35,35,New York Knicks,0,96,101
36,36,Milwaukee Bucks,0,111,109
37,37,Golden State Warriors,0,144,105
38,38,Miami Heat,1,111,121
39,39,Boston Celtics,1,104,109
40,40,Los Angeles Lakers,0,111,120
42,41,Miami Heat,0,115,105
43,42,Cleveland Cavaliers,0,84,91
44,43,Orlando Magic,1,111,129
45,44,Philadelphia 76ers,0,108,112
46,45,Seattle SuperSonics,0,86,87
47,46,New York Knicks,1,98,112
48,47,Denver Nuggets,1,138,130
49,48,San Antonio Spurs,1,105,100
50,49,Charlotte Hornets,0,128,105
51,50,Cleveland Cavaliers,1,133,131
52,51,Minnesota Timberwolves,1,105,111
53,52,Washington Bullets,1,97,116
54,53,Atlanta Hawks,0,123,96
55,54,Dallas Mavericks,0,91,102
56,55,Portland Trail Blazers,0,117,112
57,56,New Jersey Nets,0,118,113
58,57,Atlanta Hawks,1,99,102
59,58,Los Angeles Clippers,0,105,107
60,59,Detroit Pistons,1,105,111
61,60,Washington Bullets,0,113,98
63,61,Phoenix Suns,0,130,134
64,62,Chicago Bulls,1,105,117
65,63,San Antonio Spurs,0,102,103
66,64,Atlanta Hawks,0,104,106
67,65,Cleveland Cavaliers,1,102,118
68,66,Miami Heat,1,112,98
69,67,Milwaukee Bucks,0,112,96
70,68,New Jersey Nets,0,125,109
71,69,Boston Celtics,0,101,96
72,70,Sacramento Kings,0,111,101
73,71,Cleveland Cavaliers,1,91,121
74,72,Chicago Bulls,1,102,109
75,73,Milwaukee Bucks,1,116,121
76,74,Orlando Magic,1,123,115
77,75,New York Knicks,0,99,97
78,76,Washington Bullets,0,107,105
79,77,New York Knicks,1,100,108
80,78,New Jersey Nets,1,124,113
81,79,Chicago Bulls,0,111,102
82,80,Philadelphia 76ers,1,113,124
84,81,Detroit Pistons,0,115,121
85,82,Washington Bullets,1,127,117
