,G,Opponent,Home_away,Tm,Opp
0,1,Milwaukee Bucks,0,88,85
1,2,Milwaukee Bucks,0,91,104
2,3,Milwaukee Bucks,1,109,96
3,4,Milwaukee Bucks,1,87,100
4,5,Milwaukee Bucks,0,96,95
6,6,Philadelphia 76ers,0,108,91
7,7,Philadelphia 76ers,0,103,97
8,8,Philadelphia 76ers,1,97,89
9,9,Philadelphia 76ers,1,90,92
10,10,Philadelphia 76ers,0,86,107
11,11,Philadelphia 76ers,1,106,90
13,12,New York Knicks,0,102,88
14,13,New York Knicks,0,88,84
15,14,New York Knicks,1,95,98
16,15,New York Knicks,1,89,91
17,16,New York Knicks,0,88,79
18,17,New York Knicks,1,93,80
20,18,Los Angeles Lakers,1,87,104
21,19,Los Angeles Lakers,1,104,111
22,20,Los Angeles Lakers,0,100,91
23,21,Los Angeles Lakers,0,118,120
24,22,Los Angeles Lakers,0,120,87
25,23,Los Angeles Lakers,1,111,116
