,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Lakers,0,102,103
1,2,Seattle SuperSonics,0,98,93
2,3,Portland Trail Blazers,1,81,88
3,4,Chicago Bulls,0,111,107
4,5,Seattle SuperSonics,1,98,106
5,6,Utah Jazz,1,109,110
6,7,Denver Nuggets,0,132,127
7,8,Milwaukee Bucks,0,115,118
8,9,Seattle SuperSonics,0,110,105
9,10,Kansas City Kings,0,101,106
10,11,San Antonio Spurs,0,123,130
11,12,Portland Trail Blazers,0,102,123
12,13,Utah Jazz,0,126,109
13,14,Los Angeles Lakers,1,112,127
14,15,Phoenix Suns,1,114,102
15,16,Chicago Bulls,1,92,107
16,17,Milwaukee Bucks,1,104,133
17,18,Los Angeles Lakers,0,91,137
18,19,Indiana Pacers,0,105,97
19,20,Milwaukee Bucks,0,112,96
21,21,Phoenix Suns,0,117,110
22,22,Denver Nuggets,1,84,105
23,23,Kansas City Kings,0,91,107
24,24,Chicago Bulls,0,128,103
25,25,Golden State Warriors,1,114,108
26,26,Philadelphia 76ers,1,101,104
27,27,Atlanta Hawks,1,96,106
28,28,Cleveland Cavaliers,1,112,115
29,29,Golden State Warriors,0,105,103
30,30,Los Angeles Lakers,1,116,108
31,31,Portland Trail Blazers,1,98,96
32,32,Houston Rockets,0,107,118
33,33,Denver Nuggets,0,112,108
34,34,Detroit Pistons,0,133,126
35,35,Kansas City Kings,1,96,110
36,36,New York Knicks,0,128,118
37,37,Utah Jazz,1,110,98
38,38,Utah Jazz,0,124,118
39,39,Seattle SuperSonics,1,104,124
40,40,Boston Celtics,0,97,118
42,41,Washington Bullets,1,93,90
43,42,New Jersey Nets,1,103,97
44,43,New York Knicks,1,101,138
45,44,Chicago Bulls,1,118,121
46,45,Seattle SuperSonics,0,105,103
47,46,Kansas City Kings,1,124,116
48,47,Milwaukee Bucks,1,111,107
49,48,Golden State Warriors,0,116,112
50,49,Utah Jazz,0,119,102
51,50,Atlanta Hawks,0,111,108
52,51,Golden State Warriors,1,91,92
53,52,Phoenix Suns,1,123,137
54,53,San Antonio Spurs,1,109,129
55,54,Houston Rockets,1,110,111
56,55,Indiana Pacers,1,117,139
57,56,Boston Celtics,1,108,131
58,57,Phoenix Suns,0,133,121
59,58,Golden State Warriors,1,92,117
60,59,Portland Trail Blazers,0,118,104
61,60,Denver Nuggets,1,104,123
63,61,Washington Bullets,0,103,108
64,62,Kansas City Kings,0,107,108
65,63,New Jersey Nets,0,113,123
66,64,Philadelphia 76ers,0,104,99
67,65,Chicago Bulls,1,102,110
68,66,Milwaukee Bucks,1,88,122
69,67,Detroit Pistons,1,129,113
70,68,Kansas City Kings,1,93,98
71,69,Milwaukee Bucks,0,98,101
72,70,Cleveland Cavaliers,0,116,105
73,71,Utah Jazz,1,113,98
74,72,Golden State Warriors,0,107,125
75,73,Los Angeles Lakers,0,106,123
76,74,Denver Nuggets,0,116,102
77,75,Phoenix Suns,0,120,109
78,76,Denver Nuggets,1,107,127
79,77,Chicago Bulls,0,101,115
80,78,Seattle SuperSonics,1,104,107
81,79,Portland Trail Blazers,1,91,98
82,80,Portland Trail Blazers,0,93,96
84,81,Los Angeles Lakers,1,88,126
85,82,Phoenix Suns,1,104,122
