,G,Opponent,Home_away,Tm,Opp
0,1,Golden State Warriors,0,105,109
1,2,Golden State Warriors,0,138,98
2,3,Golden State Warriors,1,98,96
3,4,Golden State Warriors,1,97,118
4,5,Golden State Warriors,0,113,103
5,6,Golden State Warriors,1,99,100
6,7,Golden State Warriors,0,126,121
8,8,Oklahoma City Thunder,1,122,105
9,9,Oklahoma City Thunder,1,101,112
10,10,Oklahoma City Thunder,0,112,118
11,11,Oklahoma City Thunder,0,101,99
12,12,Oklahoma City Thunder,1,104,105
13,13,Oklahoma City Thunder,0,98,104
