,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,1,117,97
1,2,Atlanta Hawks,1,102,129
2,3,Buffalo Braves,1,125,122
3,4,Seattle SuperSonics,0,118,91
4,5,Atlanta Hawks,0,100,119
5,6,Houston Rockets,1,107,98
6,7,Kansas City-Omaha Kings,1,92,91
7,8,Detroit Pistons,0,94,92
8,9,Portland Trail Blazers,0,111,98
9,10,Portland Trail Blazers,1,112,114
10,11,New York Knicks,0,91,106
11,12,Houston Rockets,0,106,93
12,13,Cleveland Cavaliers,1,96,115
13,14,Milwaukee Bucks,1,92,109
14,15,Seattle SuperSonics,1,118,111
15,16,Chicago Bulls,0,118,102
16,17,Phoenix Suns,1,130,110
17,18,Cleveland Cavaliers,0,102,100
18,19,New York Knicks,1,89,105
19,20,Capital Bullets,1,106,97
21,21,Portland Trail Blazers,1,113,108
22,22,Portland Trail Blazers,0,137,109
23,23,Kansas City-Omaha Kings,0,123,107
24,24,Portland Trail Blazers,1,115,134
25,25,Detroit Pistons,0,108,114
26,26,Phoenix Suns,0,120,103
27,27,Seattle SuperSonics,0,111,115
28,28,Golden State Warriors,1,111,135
29,29,Capital Bullets,0,96,110
30,30,Cleveland Cavaliers,1,100,101
31,31,Detroit Pistons,1,96,114
32,32,Chicago Bulls,1,100,97
33,33,Boston Celtics,0,110,115
34,34,Milwaukee Bucks,0,109,107
35,35,Philadelphia 76ers,0,116,107
36,36,Phoenix Suns,1,100,135
37,37,Seattle SuperSonics,1,105,129
38,38,Phoenix Suns,0,119,107
39,39,Golden State Warriors,1,100,102
40,40,Buffalo Braves,0,108,105
42,41,Golden State Warriors,0,114,111
43,42,Kansas City-Omaha Kings,0,109,105
44,43,Capital Bullets,1,92,94
45,44,Detroit Pistons,1,94,123
46,45,Boston Celtics,1,111,103
47,46,Philadelphia 76ers,1,108,101
48,47,Kansas City-Omaha Kings,1,116,115
49,48,Milwaukee Bucks,1,90,94
50,49,Cleveland Cavaliers,0,110,111
51,50,Capital Bullets,0,143,124
52,51,Milwaukee Bucks,0,99,92
53,52,Phoenix Suns,0,121,110
54,53,Phoenix Suns,1,112,119
55,54,Portland Trail Blazers,0,124,91
56,55,Houston Rockets,1,112,116
57,56,Atlanta Hawks,1,103,107
58,57,Chicago Bulls,1,86,96
59,58,Houston Rockets,0,119,129
60,59,Seattle SuperSonics,0,112,96
61,60,Atlanta Hawks,0,110,113
63,61,Kansas City-Omaha Kings,1,86,92
64,62,Detroit Pistons,1,110,112
65,63,Philadelphia 76ers,0,104,103
66,64,Seattle SuperSonics,1,118,116
67,65,Chicago Bulls,0,100,90
68,66,Buffalo Braves,1,119,112
69,67,Milwaukee Bucks,1,110,108
70,68,Kansas City-Omaha Kings,0,107,100
71,69,Golden State Warriors,0,108,104
72,70,Portland Trail Blazers,1,102,107
73,71,Boston Celtics,0,116,111
74,72,Detroit Pistons,0,129,113
75,73,Boston Celtics,1,82,94
76,74,New York Knicks,1,109,102
77,75,Philadelphia 76ers,1,121,100
78,76,Golden State Warriors,0,107,112
79,77,Golden State Warriors,1,105,135
80,78,New York Knicks,0,126,114
81,79,Milwaukee Bucks,0,120,114
82,80,Chicago Bulls,0,99,93
84,81,Buffalo Braves,0,150,124
85,82,Seattle SuperSonics,0,115,121
