,G,Opponent,Home_away,Tm,Opp
0,1,Sacramento Kings,0,117,107
1,2,Sacramento Kings,0,113,89
2,3,Sacramento Kings,1,91,99
3,4,Sacramento Kings,1,88,101
4,5,Sacramento Kings,0,113,86
6,6,Phoenix Suns,0,105,77
7,7,Phoenix Suns,0,97,96
8,8,Phoenix Suns,1,105,99
9,9,Phoenix Suns,1,98,117
10,10,Phoenix Suns,0,87,65
12,11,Portland Trail Blazers,0,109,94
13,12,Portland Trail Blazers,0,77,106
14,13,Portland Trail Blazers,1,93,91
15,14,Portland Trail Blazers,1,103,91
16,15,Portland Trail Blazers,0,88,96
17,16,Portland Trail Blazers,1,93,103
18,17,Portland Trail Blazers,0,89,84
20,18,Indiana Pacers,0,104,87
21,19,Indiana Pacers,0,111,104
22,20,Indiana Pacers,1,91,100
23,21,Indiana Pacers,1,120,118
24,22,Indiana Pacers,1,87,120
25,23,Indiana Pacers,0,116,111
