,playoff_regualr,team,year,Unnamed: 0,G,Opponent,Home_away,Tm,Opp
0,regular,MEM,1996,0,1,Portland Trail Blazers,1,92,80
1,regular,MEM,1996,1,2,Minnesota Timberwolves,0,100,98
2,regular,MEM,1996,2,3,Dallas Mavericks,1,88,99
3,regular,MEM,1996,3,4,San Antonio Spurs,1,62,111
4,regular,MEM,1996,4,5,Los Angeles Clippers,0,91,98
5,regular,MEM,1996,5,6,Seattle SuperSonics,1,81,117
6,regular,MEM,1996,6,7,Dallas Mavericks,0,89,94
7,regular,MEM,1996,7,8,Los Angeles Clippers,1,98,103
8,regular,MEM,1996,8,9,Los Angeles Lakers,0,91,114
9,regular,MEM,1996,9,10,New York Knicks,1,93,98
10,regular,MEM,1996,10,11,Orlando Magic,1,93,95
11,regular,MEM,1996,11,12,Charlotte Hornets,1,104,116
12,regular,MEM,1996,12,13,Miami Heat,1,91,111
13,regular,MEM,1996,13,14,Minnesota Timberwolves,1,98,121
14,regular,MEM,1996,14,15,Chicago Bulls,0,88,94
15,regular,MEM,1996,15,16,Los Angeles Lakers,1,100,113
16,regular,MEM,1996,16,17,Milwaukee Bucks,0,95,109
17,regular,MEM,1996,17,18,Phoenix Suns,1,108,112
18,regular,MEM,1996,18,19,Detroit Pistons,0,84,93
19,regular,MEM,1996,19,20,Toronto Raptors,0,81,93
20,regular,MEM,1996,21,21,Houston Rockets,0,89,100
21,regular,MEM,1996,22,22,Portland Trail Blazers,0,104,100
22,regular,MEM,1996,23,23,Golden State Warriors,0,85,116
23,regular,MEM,1996,24,24,Sacramento Kings,1,85,92
24,regular,MEM,1996,25,25,Seattle SuperSonics,0,94,93
25,regular,MEM,1996,26,26,Seattle SuperSonics,1,68,92
26,regular,MEM,1996,27,27,Phoenix Suns,0,80,101
27,regular,MEM,1996,28,28,Houston Rockets,1,84,100
28,regular,MEM,1996,29,29,Dallas Mavericks,1,101,103
29,regular,MEM,1996,30,30,Boston Celtics,0,103,95
30,regular,MEM,1996,31,31,Philadelphia 76ers,0,103,102
31,regular,MEM,1996,32,32,Los Angeles Clippers,0,93,101
32,regular,MEM,1996,33,33,Golden State Warriors,1,103,109
