,G,Opponent,Home_away,Tm,Opp
0,1,Dallas Mavericks,0,108,119
1,2,Detroit Pistons,1,86,109
2,3,Sacramento Kings,0,99,116
3,4,San Antonio Spurs,0,101,103
4,5,Portland Trail Blazers,1,88,94
5,6,Sacramento Kings,1,91,99
6,7,Denver Nuggets,1,73,84
7,8,Golden State Warriors,0,101,108
8,9,Minnesota Timberwolves,0,95,99
9,10,Chicago Bulls,1,93,111
10,11,Minnesota Timberwolves,1,106,110
11,12,Philadelphia 76ers,0,88,95
12,13,San Antonio Spurs,1,86,95
13,14,Washington Wizards,0,85,74
14,15,Seattle SuperSonics,0,117,99
15,16,Los Angeles Lakers,0,106,112
16,17,Toronto Raptors,0,87,92
17,18,Los Angeles Lakers,1,91,101
18,19,Phoenix Suns,1,85,98
19,20,Utah Jazz,1,71,104
21,21,Phoenix Suns,0,102,94
22,22,Miami Heat,1,107,96
23,23,Denver Nuggets,0,96,93
24,24,Houston Rockets,0,114,109
25,25,Dallas Mavericks,1,87,104
26,26,Golden State Warriors,0,104,91
27,27,Washington Wizards,1,100,118
28,28,Milwaukee Bucks,0,95,84
29,29,Utah Jazz,0,74,103
30,30,Orlando Magic,0,99,86
31,31,Boston Celtics,1,89,96
32,32,Los Angeles Clippers,0,116,111
33,33,New Orleans Hornets,0,106,102
34,34,Los Angeles Clippers,1,95,103
35,35,Phoenix Suns,1,90,96
36,36,Sacramento Kings,1,98,106
37,37,Golden State Warriors,1,110,108
38,38,Portland Trail Blazers,1,92,100
39,39,Seattle SuperSonics,1,97,103
40,40,Portland Trail Blazers,0,87,99
42,41,San Antonio Spurs,1,98,93
43,42,Sacramento Kings,0,98,104
44,43,Seattle SuperSonics,0,83,95
45,44,Houston Rockets,0,95,100
46,45,New York Knicks,0,102,108
47,46,Denver Nuggets,1,78,93
48,47,Golden State Warriors,1,91,101
49,48,Utah Jazz,1,84,105
50,49,New Jersey Nets,0,97,90
51,50,Dallas Mavericks,0,103,110
52,51,Milwaukee Bucks,1,101,95
53,52,Indiana Pacers,0,108,103
54,53,New Orleans Hornets,1,123,125
55,54,Houston Rockets,1,82,93
56,55,Utah Jazz,0,103,92
57,56,Philadelphia 76ers,1,107,111
58,57,Miami Heat,0,126,116
59,58,Dallas Mavericks,1,87,114
60,59,Boston Celtics,0,110,111
61,60,Denver Nuggets,0,96,86
63,61,Cleveland Cavaliers,1,115,89
64,62,Toronto Raptors,1,119,106
65,63,New York Knicks,1,87,85
66,64,Chicago Bulls,0,124,95
67,65,Atlanta Hawks,0,124,92
68,66,Minnesota Timberwolves,1,80,96
69,67,Cleveland Cavaliers,0,128,101
70,68,Indiana Pacers,1,92,101
71,69,New Jersey Nets,1,99,107
72,70,Orlando Magic,1,110,104
73,71,Phoenix Suns,0,99,101
74,72,Seattle SuperSonics,1,71,95
75,73,Los Angeles Clippers,1,100,102
76,74,Los Angeles Lakers,1,94,110
77,75,San Antonio Spurs,0,87,105
78,76,Los Angeles Lakers,0,101,102
79,77,Atlanta Hawks,1,91,97
80,78,Los Angeles Clippers,0,111,108
81,79,Portland Trail Blazers,0,96,93
82,80,Detroit Pistons,0,107,110
84,81,Houston Rockets,1,86,97
85,82,Minnesota Timberwolves,0,87,95
