,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Clippers,1,91,112
1,2,Los Angeles Clippers,1,91,93
2,3,Los Angeles Clippers,0,94,82
3,4,Los Angeles Clippers,0,104,83
4,5,Los Angeles Clippers,1,103,93
5,6,Los Angeles Clippers,0,118,105
7,7,Oklahoma City Thunder,1,91,93
8,8,Oklahoma City Thunder,1,99,93
9,9,Oklahoma City Thunder,0,87,81
10,10,Oklahoma City Thunder,0,103,97
11,11,Oklahoma City Thunder,1,88,84
13,12,San Antonio Spurs,1,83,105
14,13,San Antonio Spurs,1,89,93
15,14,San Antonio Spurs,0,93,104
16,15,San Antonio Spurs,0,86,93
