,G,Opponent,Home_away,Tm,Opp
0,1,Memphis Grizzlies,1,97,78
1,2,Indiana Pacers,0,102,105
2,3,Milwaukee Bucks,1,100,105
3,4,New Jersey Nets,0,90,89
4,5,Indiana Pacers,1,90,95
5,6,Houston Rockets,0,88,84
6,7,Charlotte Bobcats,0,108,99
7,8,New Orleans/Oklahoma City Hornets,0,109,102
8,9,Philadelphia 76ers,0,106,96
9,10,Toronto Raptors,1,94,107
10,11,Portland Trail Blazers,0,100,79
11,12,Dallas Mavericks,0,90,103
12,13,Orlando Magic,1,77,80
13,14,New York Knicks,0,107,94
14,15,Atlanta Hawks,1,96,74
15,16,Sacramento Kings,1,98,87
16,17,Denver Nuggets,1,99,101
17,18,Los Angeles Clippers,1,89,99
18,19,San Antonio Spurs,1,84,98
19,20,Denver Nuggets,0,92,100
21,21,Washington Wizards,0,104,101
22,22,Chicago Bulls,1,100,97
23,23,Milwaukee Bucks,1,100,83
24,24,Philadelphia 76ers,1,112,105
25,25,Cleveland Cavaliers,1,107,115
26,26,Atlanta Hawks,0,111,92
27,27,New Jersey Nets,0,88,95
28,28,Los Angeles Lakers,0,97,92
29,29,Milwaukee Bucks,0,109,98
30,30,Detroit Pistons,1,101,106
31,31,Washington Wizards,1,128,113
32,32,Minnesota Timberwolves,0,97,70
33,33,New Orleans/Oklahoma City Hornets,1,92,107
34,34,Phoenix Suns,1,93,111
35,35,Portland Trail Blazers,1,118,89
36,36,Golden State Warriors,1,110,96
37,37,Seattle SuperSonics,1,117,104
38,38,Utah Jazz,1,100,94
39,39,Los Angeles Lakers,1,92,100
40,40,San Antonio Spurs,0,94,101
42,41,Sacramento Kings,0,119,99
43,42,Memphis Grizzlies,0,94,82
44,43,Phoenix Suns,0,98,107
45,44,Charlotte Bobcats,1,91,85
46,45,Houston Rockets,1,101,95
47,46,Los Angeles Clippers,0,118,114
48,47,Cleveland Cavaliers,0,101,73
49,48,New Jersey Nets,1,92,105
50,49,Boston Celtics,0,114,98
51,50,Dallas Mavericks,1,76,112
52,51,Detroit Pistons,0,100,98
53,52,Orlando Magic,0,107,93
54,53,Orlando Magic,1,110,100
55,54,New York Knicks,1,103,83
56,55,Seattle SuperSonics,0,115,106
57,56,Toronto Raptors,0,101,94
58,57,Boston Celtics,1,103,96
59,58,Atlanta Hawks,0,95,93
60,59,Charlotte Bobcats,1,106,105
61,60,Washington Wizards,0,118,112
63,61,Golden State Warriors,0,106,111
64,62,Cleveland Cavaliers,0,98,92
65,63,Utah Jazz,0,121,83
66,64,Boston Celtics,0,107,104
67,65,Chicago Bulls,1,85,84
68,66,New York Knicks,1,111,100
69,67,Minnesota Timberwolves,1,96,100
70,68,Detroit Pistons,1,73,82
71,69,Charlotte Bobcats,0,114,93
72,70,Indiana Pacers,0,96,91
73,71,Toronto Raptors,1,98,94
74,72,Cleveland Cavaliers,1,99,106
75,73,New Jersey Nets,1,78,90
76,74,Milwaukee Bucks,0,115,89
77,75,Detroit Pistons,0,82,95
78,76,Washington Wizards,1,99,86
79,77,Orlando Magic,0,84,93
80,78,Toronto Raptors,0,106,97
81,79,Philadelphia 76ers,0,104,85
82,80,Chicago Bulls,0,93,117
84,81,Atlanta Hawks,1,100,103
85,82,Boston Celtics,1,78,85
