,G,Opponent,Home_away,Tm,Opp
0,1,Philadelphia 76ers,0,97,89
1,2,Philadelphia 76ers,0,94,73
2,3,Philadelphia 76ers,1,100,94
3,4,Philadelphia 76ers,1,82,86
4,5,Philadelphia 76ers,0,97,91
6,6,Boston Celtics,0,99,90
7,7,Boston Celtics,0,102,91
8,8,Boston Celtics,1,81,97
9,9,Boston Celtics,1,98,90
10,10,Boston Celtics,0,97,87
12,11,Chicago Bulls,1,82,103
13,12,Chicago Bulls,1,85,75
14,13,Chicago Bulls,0,96,85
15,14,Chicago Bulls,0,101,93
16,15,Chicago Bulls,1,83,80
18,16,Dallas Mavericks,0,92,84
19,17,Dallas Mavericks,0,93,95
20,18,Dallas Mavericks,1,88,86
21,19,Dallas Mavericks,1,83,86
22,20,Dallas Mavericks,1,103,112
23,21,Dallas Mavericks,0,95,105
