,G,Opponent,Home_away,Tm,Opp
0,1,Detroit Pistons,1,109,99
1,2,Chicago Bulls,0,109,107
2,3,New York Knicks,1,85,113
3,4,Golden State Warriors,0,114,120
4,5,Charlotte Hornets,1,125,122
5,6,Dallas Mavericks,0,111,95
6,7,Philadelphia 76ers,1,99,102
7,8,Cleveland Cavaliers,1,113,119
8,9,Chicago Bulls,1,101,114
9,10,Miami Heat,0,116,120
10,11,Charlotte Hornets,0,127,104
11,12,Washington Bullets,0,112,87
12,13,Golden State Warriors,1,115,120
13,14,Los Angeles Lakers,1,97,102
14,15,Portland Trail Blazers,1,98,107
15,16,Indiana Pacers,0,137,119
16,17,Los Angeles Lakers,0,126,94
17,18,New Jersey Nets,0,101,109
18,19,Indiana Pacers,1,106,126
19,20,San Antonio Spurs,0,102,83
21,21,Atlanta Hawks,1,104,118
22,22,Washington Bullets,1,109,97
23,23,Minnesota Timberwolves,0,103,92
24,24,Boston Celtics,1,117,131
25,25,Orlando Magic,1,95,87
26,26,Philadelphia 76ers,0,110,97
27,27,Cleveland Cavaliers,0,94,111
28,28,Houston Rockets,0,110,100
29,29,Minnesota Timberwolves,1,92,91
30,30,Chicago Bulls,0,113,108
31,31,Utah Jazz,0,99,98
32,32,New Jersey Nets,1,97,104
33,33,Sacramento Kings,0,105,106
34,34,Atlanta Hawks,1,88,93
35,35,Miami Heat,1,115,134
36,36,New York Knicks,0,90,85
37,37,Orlando Magic,0,108,98
38,38,Houston Rockets,1,107,117
39,39,Dallas Mavericks,1,116,118
40,40,San Antonio Spurs,1,86,115
42,41,Denver Nuggets,1,100,107
43,42,Atlanta Hawks,0,100,110
44,43,Boston Celtics,0,102,100
45,44,Seattle SuperSonics,0,122,106
46,45,Detroit Pistons,1,94,102
47,46,Denver Nuggets,0,106,97
48,47,Detroit Pistons,0,104,87
49,48,Charlotte Hornets,0,127,118
50,49,Indiana Pacers,1,100,107
51,50,Orlando Magic,1,104,118
52,51,Cleveland Cavaliers,0,128,116
53,52,Miami Heat,0,109,111
54,53,Cleveland Cavaliers,1,89,103
55,54,Charlotte Hornets,1,82,94
56,55,Detroit Pistons,1,97,104
57,56,Chicago Bulls,0,105,109
58,57,Atlanta Hawks,0,109,106
59,58,Charlotte Hornets,0,110,119
60,59,Orlando Magic,0,124,102
61,60,Washington Bullets,1,90,94
63,61,Portland Trail Blazers,0,112,126
64,62,Phoenix Suns,0,100,106
65,63,Philadelphia 76ers,0,110,105
66,64,Boston Celtics,0,127,106
67,65,New York Knicks,1,92,96
68,66,Indiana Pacers,1,97,102
69,67,Washington Bullets,0,109,88
70,68,Sacramento Kings,1,102,113
71,69,Phoenix Suns,1,104,132
72,70,Seattle SuperSonics,1,95,96
73,71,Los Angeles Clippers,1,95,103
74,72,Utah Jazz,1,100,120
75,73,New Jersey Nets,0,117,121
76,74,New Jersey Nets,1,103,122
77,75,Los Angeles Clippers,0,96,97
78,76,Chicago Bulls,1,101,116
79,77,Indiana Pacers,0,107,122
80,78,Boston Celtics,1,100,109
81,79,Philadelphia 76ers,1,94,90
82,80,Detroit Pistons,0,94,98
84,81,Miami Heat,1,87,95
85,82,New York Knicks,0,103,114
