,G,Opponent,Home_away,Tm,Opp
0,1,Orlando Magic,0,103,90
1,2,Orlando Magic,0,103,96
2,3,Orlando Magic,1,116,121
3,4,Orlando Magic,1,112,104
5,5,Charlotte Hornets,0,104,92
6,6,Charlotte Hornets,0,91,90
7,7,Charlotte Hornets,1,92,102
8,8,Charlotte Hornets,1,78,85
9,9,Charlotte Hornets,0,86,94
10,10,Charlotte Hornets,1,104,97
11,11,Charlotte Hornets,0,104,95
13,12,Philadelphia 76ers,1,85,93
14,13,Philadelphia 76ers,1,92,78
15,14,Philadelphia 76ers,0,80,74
16,15,Philadelphia 76ers,0,83,89
17,16,Philadelphia 76ers,1,88,89
18,17,Philadelphia 76ers,0,110,100
19,18,Philadelphia 76ers,1,91,108
