,G,Opponent,Home_away,Tm,Opp
0,1,San Antonio Spurs,0,82,78
1,2,Los Angeles Lakers,1,85,91
2,3,Phoenix Suns,1,98,95
3,4,Portland Trail Blazers,1,94,95
4,5,Los Angeles Clippers,1,70,81
5,6,Portland Trail Blazers,0,100,97
6,7,Dallas Mavericks,0,100,90
7,8,New York Knicks,1,79,82
8,9,Houston Rockets,1,93,122
9,10,Orlando Magic,1,86,90
10,11,Los Angeles Clippers,0,98,96
11,12,Washington Bullets,1,98,105
12,13,Seattle SuperSonics,0,98,106
13,14,Denver Nuggets,1,108,103
14,15,Toronto Raptors,0,79,70
15,16,Sacramento Kings,0,89,96
16,17,Seattle SuperSonics,1,86,117
17,18,Utah Jazz,1,95,106
18,19,Los Angeles Lakers,1,86,110
19,20,Houston Rockets,0,94,96
21,21,Chicago Bulls,1,86,103
22,22,Phoenix Suns,0,108,105
23,23,Cleveland Cavaliers,0,93,101
24,24,Golden State Warriors,1,96,123
25,25,Sacramento Kings,1,105,112
26,26,Los Angeles Lakers,0,103,88
27,27,Utah Jazz,0,107,98
28,28,New York Knicks,0,88,80
29,29,Denver Nuggets,0,103,96
30,30,Cleveland Cavaliers,1,96,108
31,31,Boston Celtics,1,94,84
32,32,Milwaukee Bucks,1,97,91
33,33,Houston Rockets,0,95,104
34,34,New Jersey Nets,1,110,107
35,35,Los Angeles Clippers,0,95,93
36,36,Atlanta Hawks,1,93,95
37,37,Chicago Bulls,0,102,112
38,38,Golden State Warriors,0,108,93
39,39,San Antonio Spurs,0,96,83
40,40,Toronto Raptors,1,106,118
42,41,Vancouver Grizzlies,1,95,76
43,42,Portland Trail Blazers,1,94,101
44,43,Sacramento Kings,0,88,91
45,44,Dallas Mavericks,1,92,82
46,45,San Antonio Spurs,1,97,95
47,46,Portland Trail Blazers,0,103,102
48,47,Charlotte Hornets,1,101,115
49,48,Vancouver Grizzlies,0,103,86
50,49,Los Angeles Lakers,0,84,100
51,50,Orlando Magic,0,104,100
52,51,Phoenix Suns,0,107,96
53,52,Sacramento Kings,1,84,95
54,53,Vancouver Grizzlies,1,84,73
55,54,Golden State Warriors,0,101,82
56,55,San Antonio Spurs,1,108,89
57,56,Dallas Mavericks,1,107,105
58,57,Charlotte Hornets,0,96,108
59,58,Detroit Pistons,0,88,92
60,59,Denver Nuggets,0,96,83
61,60,Utah Jazz,0,106,115
63,61,Philadelphia 76ers,0,104,100
64,62,Seattle SuperSonics,0,92,108
65,63,Philadelphia 76ers,1,95,109
66,64,Boston Celtics,0,119,101
67,65,Indiana Pacers,1,97,115
68,66,Vancouver Grizzlies,0,95,72
69,67,Detroit Pistons,1,98,112
70,68,Miami Heat,0,108,113
71,69,Houston Rockets,1,103,112
72,70,Denver Nuggets,1,102,100
73,71,Seattle SuperSonics,1,81,92
74,72,Golden State Warriors,1,113,102
75,73,New Jersey Nets,0,94,89
76,74,Washington Bullets,0,97,95
77,75,Indiana Pacers,0,83,94
78,76,Phoenix Suns,1,107,115
79,77,Los Angeles Clippers,1,108,96
80,78,Atlanta Hawks,0,66,80
81,79,Miami Heat,1,95,87
82,80,Dallas Mavericks,0,77,92
84,81,Milwaukee Bucks,0,122,112
85,82,Utah Jazz,1,89,101
