,playoff_regualr,team,year,Unnamed: 0,G,Opponent,Home_away,Tm,Opp
0,playoff,NOP,2003,0,1,Philadelphia 76ers,1,90,98
1,playoff,NOP,2003,1,2,Philadelphia 76ers,1,85,90
2,playoff,NOP,2003,2,3,Philadelphia 76ers,0,99,85
3,playoff,NOP,2003,3,4,Philadelphia 76ers,0,87,96
4,playoff,NOP,2003,4,5,Philadelphia 76ers,1,93,91
5,playoff,NOP,2003,5,6,Philadelphia 76ers,0,103,107
0,regular,NOP,2003,0,1,Utah Jazz,0,100,75
1,regular,NOP,2003,1,2,Chicago Bulls,1,79,84
2,regular,NOP,2003,2,3,Miami Heat,0,100,95
3,regular,NOP,2003,3,4,Seattle SuperSonics,0,86,84
4,regular,NOP,2003,4,5,Golden State Warriors,0,110,104
5,regular,NOP,2003,5,6,New York Knicks,1,97,91
6,regular,NOP,2003,6,7,Detroit Pistons,1,87,93
7,regular,NOP,2003,7,8,Minnesota Timberwolves,0,102,98
8,regular,NOP,2003,8,9,Chicago Bulls,0,105,87
9,regular,NOP,2003,9,10,Atlanta Hawks,1,82,89
10,regular,NOP,2003,10,11,Philadelphia 76ers,0,99,98
11,regular,NOP,2003,11,12,New York Knicks,0,105,97
12,regular,NOP,2003,12,13,Cleveland Cavaliers,1,97,84
13,regular,NOP,2003,13,14,Philadelphia 76ers,1,87,108
14,regular,NOP,2003,14,15,Atlanta Hawks,0,106,94
15,regular,NOP,2003,15,16,New York Knicks,1,86,92
16,regular,NOP,2003,16,17,Boston Celtics,1,86,95
17,regular,NOP,2003,17,18,Chicago Bulls,1,115,90
18,regular,NOP,2003,18,19,Toronto Raptors,0,89,74
19,regular,NOP,2003,19,20,Houston Rockets,0,98,96
20,regular,NOP,2003,21,21,Milwaukee Bucks,1,94,88
21,regular,NOP,2003,22,22,Los Angeles Clippers,0,90,94
22,regular,NOP,2003,23,23,Utah Jazz,1,93,88
23,regular,NOP,2003,24,24,Los Angeles Lakers,1,98,82
24,regular,NOP,2003,25,25,Sacramento Kings,1,92,107
25,regular,NOP,2003,26,26,Portland Trail Blazers,1,93,102
26,regular,NOP,2003,27,27,Golden State Warriors,1,106,111
27,regular,NOP,2003,28,28,Seattle SuperSonics,1,88,86
28,regular,NOP,2003,29,29,San Antonio Spurs,1,94,99
29,regular,NOP,2003,30,30,Dallas Mavericks,0,81,83
30,regular,NOP,2003,31,31,Indiana Pacers,1,84,91
31,regular,NOP,2003,32,32,Houston Rockets,1,85,97
32,regular,NOP,2003,33,33,Indiana Pacers,0,86,89
33,regular,NOP,2003,34,34,Orlando Magic,0,100,89
34,regular,NOP,2003,35,35,Toronto Raptors,1,99,84
35,regular,NOP,2003,36,36,Memphis Grizzlies,1,102,106
36,regular,NOP,2003,37,37,Boston Celtics,0,83,93
37,regular,NOP,2003,38,38,Detroit Pistons,0,99,101
38,regular,NOP,2003,39,39,Atlanta Hawks,1,80,87
39,regular,NOP,2003,40,40,Los Angeles Lakers,0,82,90
40,regular,NOP,2003,42,41,Chicago Bulls,0,90,83
41,regular,NOP,2003,43,42,Phoenix Suns,0,114,102
42,regular,NOP,2003,44,43,Washington Wizards,0,103,94
43,regular,NOP,2003,45,44,Portland Trail Blazers,0,96,97
44,regular,NOP,2003,46,45,Milwaukee Bucks,0,93,108
45,regular,NOP,2003,47,46,Toronto Raptors,0,104,83
46,regular,NOP,2003,48,47,New Jersey Nets,1,72,89
47,regular,NOP,2003,49,48,Washington Wizards,1,104,109
48,regular,NOP,2003,50,49,Boston Celtics,0,103,96
49,regular,NOP,2003,51,50,Sacramento Kings,0,108,84
50,regular,NOP,2003,52,51,Miami Heat,1,78,69
51,regular,NOP,2003,53,52,Indiana Pacers,0,72,83
52,regular,NOP,2003,54,53,Minnesota Timberwolves,1,93,114
53,regular,NOP,2003,55,54,Denver Nuggets,0,100,92
54,regular,NOP,2003,56,55,Orlando Magic,1,94,99
55,regular,NOP,2003,57,56,Washington Wizards,0,87,75
56,regular,NOP,2003,58,57,Memphis Grizzlies,0,125,123
57,regular,NOP,2003,59,58,Detroit Pistons,1,93,91
58,regular,NOP,2003,60,59,Miami Heat,0,91,82
59,regular,NOP,2003,61,60,Denver Nuggets,1,94,88
60,regular,NOP,2003,63,61,Phoenix Suns,1,97,92
61,regular,NOP,2003,64,62,Los Angeles Clippers,1,111,108
62,regular,NOP,2003,65,63,Cleveland Cavaliers,0,102,76
63,regular,NOP,2003,66,64,New Jersey Nets,0,92,102
64,regular,NOP,2003,67,65,Indiana Pacers,1,81,71
65,regular,NOP,2003,68,66,Boston Celtics,1,65,93
66,regular,NOP,2003,69,67,Miami Heat,1,87,83
67,regular,NOP,2003,70,68,Orlando Magic,1,86,96
68,regular,NOP,2003,71,69,New York Knicks,0,101,96
69,regular,NOP,2003,72,70,Milwaukee Bucks,0,113,98
70,regular,NOP,2003,73,71,Milwaukee Bucks,1,85,93
71,regular,NOP,2003,74,72,Orlando Magic,0,95,97
72,regular,NOP,2003,75,73,Toronto Raptors,1,101,92
73,regular,NOP,2003,76,74,San Antonio Spurs,0,90,92
74,regular,NOP,2003,77,75,Dallas Mavericks,1,86,95
75,regular,NOP,2003,78,76,New Jersey Nets,0,106,97
76,regular,NOP,2003,79,77,Cleveland Cavaliers,1,76,79
77,regular,NOP,2003,80,78,Cleveland Cavaliers,0,100,81
78,regular,NOP,2003,81,79,Detroit Pistons,0,93,89
