,G,Opponent,Home_away,Tm,Opp
0,1,Dallas Mavericks,0,91,106
1,2,Orlando Magic,0,89,90
2,3,Minnesota Timberwolves,1,92,99
3,4,Los Angeles Lakers,0,98,106
4,5,Atlanta Hawks,0,95,96
5,6,Milwaukee Bucks,1,91,94
6,7,Phoenix Suns,0,84,95
7,8,Minnesota Timberwolves,0,94,99
8,9,Utah Jazz,1,76,75
9,10,Golden State Warriors,1,109,115
10,11,Phoenix Suns,1,86,95
11,12,Los Angeles Lakers,1,76,89
12,13,Denver Nuggets,1,67,76
13,14,Sacramento Kings,0,81,94
14,15,Detroit Pistons,0,69,92
15,16,Houston Rockets,1,81,89
16,17,New York Knicks,0,79,86
17,18,New Jersey Nets,1,91,94
18,19,Washington Wizards,1,69,88
19,20,Charlotte Bobcats,1,93,94
21,21,Golden State Warriors,0,98,89
22,22,San Antonio Spurs,0,67,83
23,23,Sacramento Kings,1,71,107
24,24,Los Angeles Clippers,1,91,100
25,25,Los Angeles Lakers,1,89,101
26,26,Cleveland Cavaliers,1,91,100
27,27,Indiana Pacers,1,82,100
28,28,Phoenix Suns,0,96,107
29,29,Boston Celtics,1,90,108
30,30,Chicago Bulls,0,89,95
31,31,Memphis Grizzlies,1,76,84
32,32,Sacramento Kings,0,121,117
33,33,New York Knicks,1,88,82
34,34,Detroit Pistons,1,76,90
35,35,Portland Trail Blazers,0,112,106
36,36,Toronto Raptors,1,99,102
37,37,Philadelphia 76ers,1,91,95
38,38,Indiana Pacers,0,90,87
39,39,Los Angeles Clippers,0,88,85
40,40,Miami Heat,1,68,97
42,41,Houston Rockets,0,77,82
43,42,Philadelphia 76ers,0,99,95
44,43,San Antonio Spurs,1,83,93
45,44,Memphis Grizzlies,0,91,98
46,45,Dallas Mavericks,0,82,90
47,46,Golden State Warriors,1,82,90
48,47,Utah Jazz,1,92,108
49,48,Seattle SuperSonics,1,91,108
50,49,Portland Trail Blazers,1,91,80
51,50,Golden State Warriors,0,111,108
52,51,Orlando Magic,1,94,97
53,52,Washington Wizards,0,98,96
54,53,San Antonio Spurs,0,78,101
55,54,Seattle SuperSonics,0,85,103
56,55,Denver Nuggets,0,93,94
57,56,Dallas Mavericks,1,86,90
58,57,Charlotte Bobcats,0,94,85
59,58,Utah Jazz,0,92,85
60,59,Toronto Raptors,0,84,95
61,60,New Jersey Nets,0,85,86
63,61,Milwaukee Bucks,0,111,107
64,62,San Antonio Spurs,1,89,112
65,63,Memphis Grizzlies,0,82,88
66,64,Chicago Bulls,1,94,90
67,65,Boston Celtics,0,100,113
68,66,Dallas Mavericks,1,86,103
69,67,Minnesota Timberwolves,1,102,107
70,68,Houston Rockets,0,68,81
71,69,Memphis Grizzlies,1,96,85
72,70,Cleveland Cavaliers,0,108,109
73,71,Houston Rockets,1,76,73
74,72,Miami Heat,0,99,111
75,73,Atlanta Hawks,1,96,86
76,74,Denver Nuggets,0,83,94
77,75,Utah Jazz,0,87,98
78,76,Portland Trail Blazers,0,81,90
79,77,Phoenix Suns,1,85,99
80,78,Denver Nuggets,1,102,116
81,79,Seattle SuperSonics,1,72,97
82,80,Los Angeles Clippers,1,89,94
84,81,Minnesota Timberwolves,0,99,102
85,82,Los Angeles Clippers,0,75,86
