,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Lakers,0,102,97
1,2,San Antonio Spurs,0,117,98
2,3,Buffalo Braves,0,118,104
3,4,Cleveland Cavaliers,1,90,114
4,5,New Orleans Jazz,0,112,115
5,6,Kansas City Kings,1,101,105
6,7,Denver Nuggets,1,110,119
7,8,Los Angeles Lakers,1,126,121
8,9,Golden State Warriors,1,112,111
9,10,Portland Trail Blazers,1,93,119
10,11,Washington Bullets,0,106,97
11,12,Detroit Pistons,1,97,111
12,13,Milwaukee Bucks,0,110,97
13,14,Atlanta Hawks,0,100,97
14,15,Washington Bullets,1,97,111
15,16,Denver Nuggets,0,120,115
16,17,Kansas City Kings,0,98,100
17,18,Philadelphia 76ers,1,103,114
18,19,Boston Celtics,0,109,123
19,20,New York Nets,0,103,104
21,21,Buffalo Braves,1,112,135
22,22,Seattle SuperSonics,0,103,96
23,23,Portland Trail Blazers,0,94,111
24,24,New York Nets,1,105,95
25,25,Phoenix Suns,0,112,96
26,26,San Antonio Spurs,1,98,111
27,27,Boston Celtics,1,123,109
28,28,Cleveland Cavaliers,0,115,113
29,29,Detroit Pistons,0,133,103
30,30,Philadelphia 76ers,0,104,105
31,31,Atlanta Hawks,1,103,98
32,32,Houston Rockets,0,111,99
33,33,Cleveland Cavaliers,0,121,110
34,34,Golden State Warriors,0,110,120
35,35,Houston Rockets,1,107,108
36,36,Chicago Bulls,1,88,108
37,37,Phoenix Suns,0,102,95
38,38,Portland Trail Blazers,1,111,131
39,39,Seattle SuperSonics,1,107,127
40,40,Golden State Warriors,1,111,97
42,41,Phoenix Suns,1,90,97
43,42,Los Angeles Lakers,1,94,108
44,43,New Orleans Jazz,1,102,111
45,44,Chicago Bulls,0,108,91
46,45,Cleveland Cavaliers,1,111,113
47,46,Kansas City Kings,0,105,112
48,47,Golden State Warriors,0,108,107
49,48,Houston Rockets,0,108,90
50,49,Houston Rockets,1,103,105
51,50,San Antonio Spurs,1,96,119
52,51,Los Angeles Lakers,0,125,107
53,52,Indiana Pacers,1,109,110
54,53,Boston Celtics,1,111,119
55,54,Chicago Bulls,0,123,103
56,55,Milwaukee Bucks,1,123,124
57,56,New York Nets,0,85,86
58,57,New York Nets,1,100,80
59,58,New Orleans Jazz,0,119,102
60,59,Atlanta Hawks,1,98,101
61,60,New Orleans Jazz,1,107,124
63,61,Indiana Pacers,0,129,115
64,62,San Antonio Spurs,0,127,132
65,63,Philadelphia 76ers,0,114,117
66,64,Philadelphia 76ers,1,110,102
67,65,Denver Nuggets,0,108,114
68,66,Portland Trail Blazers,0,108,104
69,67,Seattle SuperSonics,0,88,91
70,68,Phoenix Suns,1,91,124
71,69,Denver Nuggets,1,115,107
72,70,Atlanta Hawks,0,107,101
73,71,Milwaukee Bucks,0,125,115
74,72,Chicago Bulls,1,87,105
75,73,Washington Bullets,0,92,98
76,74,Washington Bullets,1,109,95
77,75,Kansas City Kings,1,126,132
78,76,Indiana Pacers,1,135,131
79,77,Milwaukee Bucks,1,116,109
80,78,Buffalo Braves,0,130,111
81,79,Boston Celtics,0,121,113
82,80,Indiana Pacers,0,100,114
84,81,Buffalo Braves,1,104,102
85,82,Detroit Pistons,1,144,126
