,G,Opponent,Home_away,Tm,Opp
0,1,Miami Heat,1,95,75
1,2,Miami Heat,1,73,83
2,3,Miami Heat,0,97,73
3,4,Miami Heat,0,72,87
4,5,Miami Heat,1,78,77
6,6,Atlanta Hawks,1,100,92
7,7,Atlanta Hawks,1,77,70
8,8,Atlanta Hawks,0,90,78
9,9,Atlanta Hawks,0,79,66
11,10,Indiana Pacers,1,93,90
12,11,Indiana Pacers,1,86,88
13,12,Indiana Pacers,0,92,91
14,13,Indiana Pacers,0,78,90
15,14,Indiana Pacers,1,101,94
16,15,Indiana Pacers,0,90,82
18,16,San Antonio Spurs,1,77,89
19,17,San Antonio Spurs,1,67,80
20,18,San Antonio Spurs,0,89,81
21,19,San Antonio Spurs,0,89,96
22,20,San Antonio Spurs,0,77,78
