,G,Opponent,Home_away,Tm,Opp
0,1,Utah Jazz,0,110,103
1,2,Sacramento Kings,0,100,108
2,3,Phoenix Suns,0,129,123
3,4,Los Angeles Clippers,0,115,90
4,5,New Jersey Nets,1,106,112
5,6,Boston Celtics,1,93,120
6,7,Indiana Pacers,1,87,94
7,8,Milwaukee Bucks,1,120,96
8,9,New Jersey Nets,0,104,97
9,10,Utah Jazz,1,103,113
10,11,San Antonio Spurs,1,114,94
11,12,Houston Rockets,1,98,94
12,13,Indiana Pacers,0,118,99
13,14,San Antonio Spurs,0,109,100
14,15,Milwaukee Bucks,0,111,108
15,16,Houston Rockets,0,103,90
16,17,Sacramento Kings,1,91,103
17,18,Los Angeles Clippers,1,132,127
18,19,Phoenix Suns,1,93,111
19,20,Portland Trail Blazers,0,114,103
21,21,Orlando Magic,0,124,84
22,22,Los Angeles Clippers,0,110,79
23,23,Dallas Mavericks,0,103,101
24,24,Denver Nuggets,1,96,105
25,25,Sacramento Kings,0,123,103
26,26,Philadelphia 76ers,0,121,102
27,27,Los Angeles Lakers,1,95,96
28,28,Washington Bullets,1,121,107
29,29,Cleveland Cavaliers,1,116,85
30,30,Chicago Bulls,1,108,101
31,31,Golden State Warriors,1,128,118
32,32,Los Angeles Clippers,0,108,101
33,33,Portland Trail Blazers,0,131,124
34,34,Cleveland Cavaliers,0,115,91
35,35,Minnesota Timberwolves,1,102,87
36,36,Dallas Mavericks,1,117,91
37,37,Denver Nuggets,0,111,89
38,38,Utah Jazz,0,108,120
39,39,Los Angeles Lakers,0,121,128
40,40,Philadelphia 76ers,1,109,104
42,41,Orlando Magic,1,106,103
43,42,Atlanta Hawks,1,121,98
44,43,Miami Heat,1,136,109
45,44,San Antonio Spurs,0,103,106
46,45,Chicago Bulls,0,126,118
47,46,Golden State Warriors,0,118,108
48,47,Los Angeles Lakers,1,96,102
49,48,Portland Trail Blazers,1,109,114
50,49,Golden State Warriors,1,129,117
51,50,Los Angeles Lakers,0,105,108
52,51,Minnesota Timberwolves,0,120,104
53,52,Denver Nuggets,0,90,86
54,53,Charlotte Hornets,0,114,116
55,54,Los Angeles Clippers,1,116,88
56,55,Phoenix Suns,1,118,122
57,56,Golden State Warriors,0,103,106
58,57,Minnesota Timberwolves,1,118,104
59,58,Charlotte Hornets,1,99,112
60,59,New York Knicks,1,96,84
61,60,Detroit Pistons,1,134,94
63,61,Boston Celtics,0,113,93
64,62,Miami Heat,0,103,78
65,63,Detroit Pistons,0,133,110
66,64,San Antonio Spurs,1,96,104
67,65,Houston Rockets,1,104,102
68,66,Washington Bullets,0,108,103
69,67,Portland Trail Blazers,1,122,118
70,68,New York Knicks,0,93,82
71,69,Minnesota Timberwolves,0,109,92
72,70,Sacramento Kings,0,120,95
73,71,Atlanta Hawks,0,105,83
74,72,Utah Jazz,1,92,114
75,73,Denver Nuggets,1,106,100
76,74,Dallas Mavericks,1,125,98
77,75,Phoenix Suns,0,90,96
78,76,Dallas Mavericks,0,133,112
79,77,Golden State Warriors,1,115,99
80,78,Portland Trail Blazers,0,93,97
81,79,Los Angeles Lakers,1,113,97
82,80,Houston Rockets,0,111,101
84,81,Sacramento Kings,1,97,105
85,82,Phoenix Suns,1,100,105
