,G,Opponent,Home_away,Tm,Opp
0,1,Memphis Grizzlies,0,100,86
1,2,Memphis Grizzlies,0,105,111
2,3,Memphis Grizzlies,1,95,98
3,4,Memphis Grizzlies,1,92,89
4,5,Memphis Grizzlies,0,99,100
5,6,Memphis Grizzlies,1,104,84
6,7,Memphis Grizzlies,0,120,109
8,8,Los Angeles Clippers,0,105,122
9,9,Los Angeles Clippers,0,112,101
10,10,Los Angeles Clippers,1,118,112
11,11,Los Angeles Clippers,1,99,101
12,12,Los Angeles Clippers,0,105,104
13,13,Los Angeles Clippers,1,104,98
15,14,San Antonio Spurs,1,105,122
16,15,San Antonio Spurs,1,77,112
17,16,San Antonio Spurs,0,106,97
18,17,San Antonio Spurs,0,105,92
19,18,San Antonio Spurs,1,89,117
20,19,San Antonio Spurs,0,107,112
