,G,Opponent,Home_away,Tm,Opp
0,1,Atlanta Hawks,1,111,115
1,2,Charlotte Hornets,0,97,104
2,3,Cleveland Cavaliers,0,95,102
3,4,Houston Rockets,1,99,103
4,5,Dallas Mavericks,1,99,111
5,6,Minnesota Timberwolves,1,81,108
6,7,Dallas Mavericks,0,109,103
7,8,Utah Jazz,0,102,99
8,9,Indiana Pacers,0,96,89
9,10,Golden State Warriors,1,120,123
10,11,Utah Jazz,1,91,106
11,12,Los Angeles Lakers,1,89,115
12,13,Los Angeles Clippers,1,91,119
13,14,Denver Nuggets,1,113,124
14,15,Golden State Warriors,0,113,119
15,16,New Jersey Nets,1,92,111
16,17,New York Knicks,1,113,102
17,18,Portland Trail Blazers,0,110,119
18,19,Seattle SuperSonics,0,106,100
19,20,Phoenix Suns,0,109,113
21,21,Philadelphia 76ers,0,114,119
22,22,Phoenix Suns,1,114,125
23,23,Sacramento Kings,1,108,117
24,24,Portland Trail Blazers,1,107,126
25,25,Seattle SuperSonics,1,105,122
26,26,Houston Rockets,1,126,128
27,27,Utah Jazz,0,96,104
28,28,Houston Rockets,0,109,103
29,29,Charlotte Hornets,1,100,109
30,30,Denver Nuggets,0,155,116
31,31,Los Angeles Clippers,0,110,108
32,32,San Antonio Spurs,0,90,107
33,33,Sacramento Kings,0,111,83
34,34,Minnesota Timberwolves,0,103,111
35,35,San Antonio Spurs,1,111,117
36,36,Dallas Mavericks,1,127,103
37,37,Miami Heat,1,102,104
38,38,Chicago Bulls,0,88,99
39,39,Milwaukee Bucks,1,106,125
40,40,Washington Bullets,1,119,121
42,41,Los Angeles Lakers,0,96,116
43,42,Detroit Pistons,0,81,121
44,43,Phoenix Suns,0,114,112
45,44,Boston Celtics,1,102,144
46,45,Miami Heat,0,108,98
47,46,New York Knicks,0,118,116
48,47,Minnesota Timberwolves,0,108,103
49,48,Denver Nuggets,0,129,122
50,49,Seattle SuperSonics,0,90,102
51,50,Milwaukee Bucks,0,103,111
52,51,Indiana Pacers,1,120,122
53,52,Minnesota Timberwolves,1,103,101
54,53,Sacramento Kings,0,120,90
55,54,Golden State Warriors,1,131,119
56,55,Phoenix Suns,1,124,116
57,56,Los Angeles Lakers,1,101,115
58,57,Denver Nuggets,1,111,126
59,58,Utah Jazz,0,88,106
60,59,Los Angeles Clippers,0,89,86
61,60,Denver Nuggets,0,129,113
63,61,Los Angeles Lakers,0,101,115
64,62,Houston Rockets,1,95,119
65,63,Detroit Pistons,1,99,106
66,64,Philadelphia 76ers,1,91,99
67,65,San Antonio Spurs,0,105,102
68,66,Dallas Mavericks,0,105,93
69,67,Golden State Warriors,0,115,106
70,68,Dallas Mavericks,1,97,85
71,69,San Antonio Spurs,1,95,119
72,70,Houston Rockets,0,114,82
73,71,Chicago Bulls,1,102,106
74,72,Portland Trail Blazers,0,98,115
75,73,Boston Celtics,0,102,98
76,74,Utah Jazz,1,95,111
77,75,Los Angeles Clippers,1,110,100
78,76,Sacramento Kings,1,96,104
79,77,Seattle SuperSonics,1,96,105
80,78,Portland Trail Blazers,1,119,139
81,79,Atlanta Hawks,0,113,106
82,80,Cleveland Cavaliers,1,102,112
84,81,Washington Bullets,0,112,107
85,82,New Jersey Nets,0,120,110
