,G,Opponent,Home_away,Tm,Opp
0,1,Boston Celtics,0,124,77
1,2,Boston Celtics,0,92,99
2,3,Boston Celtics,1,82,77
3,4,Boston Celtics,1,95,92
5,5,Chicago Bulls,0,94,91
6,6,Chicago Bulls,0,94,104
7,7,Chicago Bulls,1,110,101
8,8,Chicago Bulls,1,95,106
9,9,Chicago Bulls,0,103,95
10,10,Chicago Bulls,1,108,102
12,11,Indiana Pacers,0,105,101
13,12,Indiana Pacers,0,119,114
14,13,Indiana Pacers,1,100,105
15,14,Indiana Pacers,1,93,94
16,15,Indiana Pacers,0,108,106
17,16,Indiana Pacers,1,96,123
18,17,Indiana Pacers,0,105,81
20,18,Houston Rockets,0,118,120
21,19,Houston Rockets,0,106,117
22,20,Houston Rockets,1,103,106
23,21,Houston Rockets,1,101,113
