,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,1,89,95
1,2,Seattle SuperSonics,0,100,105
2,3,Buffalo Braves,0,101,104
3,4,Buffalo Braves,1,114,122
4,5,New York Knicks,1,88,111
5,6,Boston Celtics,1,85,105
6,7,Cleveland Cavaliers,0,108,113
7,8,Milwaukee Bucks,0,92,96
8,9,Cleveland Cavaliers,1,116,126
9,10,Houston Rockets,0,104,108
10,11,Kansas City-Omaha Kings,0,101,114
11,12,Atlanta Hawks,1,120,128
12,13,Milwaukee Bucks,1,113,131
13,14,Kansas City-Omaha Kings,1,107,125
14,15,New York Knicks,0,106,125
15,16,Houston Rockets,0,114,112
16,17,Phoenix Suns,1,108,119
17,18,Golden State Warriors,1,106,128
18,19,Seattle SuperSonics,1,92,105
19,20,Los Angeles Lakers,1,95,135
21,21,Buffalo Braves,0,96,105
22,22,Portland Trail Blazers,0,106,117
23,23,Buffalo Braves,1,101,94
24,24,New York Knicks,0,91,139
25,25,Boston Celtics,0,99,105
26,26,Boston Celtics,1,120,131
27,27,Kansas City-Omaha Kings,0,122,117
28,28,Phoenix Suns,0,102,117
29,29,Chicago Bulls,0,102,118
30,30,New York Knicks,1,109,120
31,31,Baltimore Bullets,1,102,123
32,32,Los Angeles Lakers,0,90,128
33,33,Buffalo Braves,0,103,126
34,34,Detroit Pistons,1,113,141
35,35,Houston Rockets,1,103,116
36,36,Atlanta Hawks,1,112,124
37,37,Atlanta Hawks,0,120,121
38,38,Boston Celtics,0,107,117
39,39,Buffalo Braves,1,110,114
40,40,Portland Trail Blazers,1,102,135
42,41,Golden State Warriors,1,79,111
43,42,Seattle SuperSonics,1,85,82
44,43,Chicago Bulls,1,110,126
45,44,Los Angeles Lakers,0,96,120
46,45,Cleveland Cavaliers,0,109,113
47,46,Boston Celtics,0,95,111
48,47,Kansas City-Omaha Kings,1,108,135
49,48,Milwaukee Bucks,1,92,108
50,49,Atlanta Hawks,0,105,122
51,50,Baltimore Bullets,0,94,110
52,51,Baltimore Bullets,1,97,108
53,52,Cleveland Cavaliers,1,100,105
54,53,Buffalo Braves,0,96,101
55,54,Buffalo Braves,1,104,105
56,55,Golden State Warriors,0,115,131
57,56,Detroit Pistons,1,104,114
58,57,Boston Celtics,0,100,104
59,58,Boston Celtics,1,115,123
60,59,Houston Rockets,0,117,123
61,60,Portland Trail Blazers,1,105,116
63,61,Phoenix Suns,1,121,126
64,62,Los Angeles Lakers,1,90,108
65,63,Milwaukee Bucks,0,106,104
66,64,Detroit Pistons,0,119,106
67,65,New York Knicks,1,89,107
68,66,New York Knicks,0,114,98
69,67,Houston Rockets,0,116,138
70,68,Portland Trail Blazers,0,115,111
71,69,Baltimore Bullets,0,102,96
72,70,Atlanta Hawks,0,107,130
73,71,Atlanta Hawks,1,130,138
74,72,New York Knicks,0,94,120
75,73,Chicago Bulls,0,84,104
76,74,Seattle SuperSonics,0,96,106
77,75,Golden State Warriors,0,93,97
78,76,Phoenix Suns,0,114,120
79,77,Baltimore Bullets,0,115,120
80,78,Baltimore Bullets,1,118,129
81,79,Cleveland Cavaliers,1,105,131
82,80,Cleveland Cavaliers,0,109,112
84,81,Houston Rockets,0,112,132
85,82,Detroit Pistons,0,96,115
