,G,Opponent,Home_away,Tm,Opp
0,1,Atlanta Hawks,0,111,76
1,2,Atlanta Hawks,1,98,95
3,3,Milwaukee Bucks,0,125,122
4,4,Milwaukee Bucks,0,120,108
5,5,Milwaukee Bucks,1,91,92
6,6,Milwaukee Bucks,1,100,93
7,7,Milwaukee Bucks,0,98,110
8,8,Milwaukee Bucks,1,102,90
10,9,Boston Celtics,1,81,121
11,10,Boston Celtics,1,121,113
12,11,Boston Celtics,0,99,97
13,12,Boston Celtics,0,119,94
14,13,Boston Celtics,1,85,114
15,14,Boston Celtics,0,75,88
16,15,Boston Celtics,1,120,106
18,16,Los Angeles Lakers,0,117,124
19,17,Los Angeles Lakers,0,110,94
20,18,Los Angeles Lakers,1,108,129
21,19,Los Angeles Lakers,1,101,111
22,20,Los Angeles Lakers,0,135,102
23,21,Los Angeles Lakers,1,104,114
