,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Lakers,0,103,107
1,2,Los Angeles Lakers,0,81,86
2,3,Los Angeles Lakers,1,107,102
3,4,Los Angeles Lakers,1,101,86
4,5,Los Angeles Lakers,0,112,104
6,6,San Antonio Spurs,0,98,89
7,7,San Antonio Spurs,0,109,103
8,8,San Antonio Spurs,1,96,111
9,9,San Antonio Spurs,1,103,117
10,10,San Antonio Spurs,0,109,97
11,11,San Antonio Spurs,1,102,100
13,12,Seattle SuperSonics,0,105,91
14,13,Seattle SuperSonics,0,99,103
15,14,Seattle SuperSonics,1,104,97
16,15,Seattle SuperSonics,1,101,120
17,16,Seattle SuperSonics,0,120,114
18,17,Seattle SuperSonics,1,102,118
19,18,Seattle SuperSonics,0,123,110
21,19,Chicago Bulls,0,92,100
22,20,Chicago Bulls,0,108,111
23,21,Chicago Bulls,1,129,121
24,22,Chicago Bulls,1,105,111
25,23,Chicago Bulls,1,108,98
26,24,Chicago Bulls,0,98,99
