,G,Opponent,Home_away,Tm,Opp
0,1,Seattle SuperSonics,1,106,99
1,2,Los Angeles Lakers,0,98,119
2,3,Cleveland Cavaliers,0,103,92
3,4,Charlotte Bobcats,1,115,83
4,5,Atlanta Hawks,1,96,105
5,6,Miami Heat,1,106,101
6,7,Orlando Magic,1,106,96
7,8,New York Knicks,0,113,102
8,9,Chicago Bulls,0,112,102
9,10,Houston Rockets,1,115,105
10,11,Sacramento Kings,1,100,98
11,12,Sacramento Kings,0,127,111
12,13,Los Angeles Clippers,0,113,94
13,14,Golden State Warriors,1,114,129
14,15,Houston Rockets,0,94,100
15,16,Orlando Magic,0,110,106
16,17,New York Knicks,1,115,104
17,18,Indiana Pacers,1,121,117
18,19,Toronto Raptors,1,136,123
19,20,Washington Wizards,1,122,107
21,21,Minnesota Timberwolves,1,93,100
22,22,Miami Heat,0,113,117
23,23,Utah Jazz,0,103,98
24,24,New Orleans Hornets,1,98,101
25,25,San Antonio Spurs,1,100,95
26,26,Dallas Mavericks,1,105,108
27,27,Toronto Raptors,0,122,103
28,28,Los Angeles Lakers,1,115,122
29,29,Los Angeles Clippers,1,108,88
30,30,Los Angeles Clippers,0,94,88
31,31,Sacramento Kings,1,117,102
32,32,Seattle SuperSonics,0,104,96
33,33,New Orleans Hornets,0,113,118
34,34,Denver Nuggets,0,137,115
35,35,Indiana Pacers,0,129,122
36,36,Utah Jazz,1,86,108
37,37,Milwaukee Bucks,0,122,114
38,38,Los Angeles Clippers,1,90,97
39,39,Los Angeles Lakers,1,106,98
40,40,Minnesota Timberwolves,0,115,95
42,41,New Jersey Nets,0,116,92
43,42,Milwaukee Bucks,1,114,105
44,43,Minnesota Timberwolves,1,107,117
45,44,Cleveland Cavaliers,1,110,108
46,45,Chicago Bulls,1,88,77
47,46,Atlanta Hawks,0,125,92
48,47,San Antonio Spurs,0,81,84
49,48,Charlotte Bobcats,0,118,104
50,49,New Orleans Hornets,0,130,132
51,50,Seattle SuperSonics,0,103,99
52,51,Washington Wizards,0,108,107
53,52,Golden State Warriors,1,118,120
54,53,Dallas Mavericks,0,109,97
55,54,Los Angeles Lakers,0,124,130
56,55,Boston Celtics,0,85,77
57,56,Detroit Pistons,0,86,116
58,57,Memphis Grizzlies,1,127,113
59,58,New Orleans Hornets,1,103,120
60,59,Philadelphia 76ers,0,114,119
61,60,Portland Trail Blazers,1,97,92
63,61,Denver Nuggets,1,113,126
64,62,Utah Jazz,0,118,126
65,63,San Antonio Spurs,0,94,87
66,64,Memphis Grizzlies,0,132,111
67,65,Golden State Warriors,0,123,115
68,66,Sacramento Kings,0,127,99
69,67,Portland Trail Blazers,1,111,98
70,68,Seattle SuperSonics,1,110,98
71,69,Houston Rockets,0,122,113
72,70,Detroit Pistons,1,105,110
73,71,Boston Celtics,1,97,117
74,72,Philadelphia 76ers,1,107,93
75,73,New Jersey Nets,1,110,104
76,74,Denver Nuggets,0,132,117
77,75,Denver Nuggets,1,120,126
78,76,Minnesota Timberwolves,0,117,88
79,77,Dallas Mavericks,0,98,105
80,78,Memphis Grizzlies,1,127,113
81,79,San Antonio Spurs,1,96,79
82,80,Houston Rockets,1,90,101
84,81,Golden State Warriors,0,122,116
85,82,Portland Trail Blazers,0,100,91
