,G,Opponent,Home_away,Tm,Opp
0,1,Minnesota Timberwolves,0,91,88
1,2,Minnesota Timberwolves,0,86,82
2,3,Minnesota Timberwolves,1,87,94
3,4,Minnesota Timberwolves,1,85,77
5,5,Utah Jazz,0,94,75
6,6,Utah Jazz,0,103,85
7,7,Utah Jazz,1,103,84
8,8,Utah Jazz,1,85,88
9,9,Utah Jazz,0,81,79
11,10,Los Angeles Lakers,1,94,109
12,11,Los Angeles Lakers,1,106,77
13,12,Los Angeles Lakers,0,91,93
14,13,Los Angeles Lakers,0,91,103
15,14,Los Angeles Lakers,1,96,88
16,15,Los Angeles Lakers,0,103,93
17,16,Los Angeles Lakers,1,84,89
