,G,Opponent,Home_away,Tm,Opp
0,1,Seattle SuperSonics,1,110,106
1,2,Golden State Warriors,1,89,102
2,3,Minnesota Timberwolves,0,88,86
3,4,Los Angeles Clippers,1,89,102
4,5,Los Angeles Lakers,0,101,90
5,6,New Orleans/Oklahoma City Hornets,0,92,91
6,7,Dallas Mavericks,0,96,103
7,8,Minnesota Timberwolves,1,89,101
8,9,Cleveland Cavaliers,1,87,100
9,10,Boston Celtics,1,90,118
10,11,New Jersey Nets,1,86,68
11,12,San Antonio Spurs,0,98,107
12,13,New Jersey Nets,0,100,97
13,14,Sacramento Kings,1,85,105
14,15,Phoenix Suns,0,101,119
15,16,Indiana Pacers,0,97,105
16,17,Orlando Magic,0,89,91
17,18,Atlanta Hawks,0,96,107
18,19,Detroit Pistons,1,88,85
19,20,Milwaukee Bucks,1,94,102
21,21,Indiana Pacers,1,95,108
22,22,Toronto Raptors,1,93,83
23,23,Philadelphia 76ers,1,81,79
24,24,Memphis Grizzlies,1,85,79
25,25,Los Angeles Clippers,0,109,99
26,26,Houston Rockets,0,89,87
27,27,Toronto Raptors,0,100,101
28,28,Phoenix Suns,1,87,110
29,29,New Orleans/Oklahoma City Hornets,0,100,85
30,30,Philadelphia 76ers,0,95,98
31,31,Utah Jazz,1,86,96
32,32,Boston Celtics,0,81,89
33,33,New York Knicks,0,81,99
34,34,Sacramento Kings,1,110,105
35,35,Miami Heat,0,90,93
36,36,San Antonio Spurs,1,84,98
37,37,Dallas Mavericks,1,74,99
38,38,Sacramento Kings,0,95,87
39,39,Denver Nuggets,0,93,109
40,40,Cleveland Cavaliers,0,94,76
42,41,Phoenix Suns,1,101,106
43,42,Milwaukee Bucks,0,99,95
44,43,Minnesota Timberwolves,0,101,98
45,44,Houston Rockets,1,69,99
46,45,Memphis Grizzlies,1,135,132
47,46,New Orleans/Oklahoma City Hornets,1,91,103
48,47,Denver Nuggets,0,100,91
49,48,Denver Nuggets,1,107,114
50,49,Chicago Bulls,0,86,88
51,50,Phoenix Suns,0,102,109
52,51,Charlotte Bobcats,1,108,100
53,52,Washington Wizards,1,94,73
54,53,Miami Heat,1,85,104
55,54,Orlando Magic,1,91,103
56,55,Utah Jazz,0,103,100
57,56,Los Angeles Lakers,1,112,108
58,57,Memphis Grizzlies,0,102,103
59,58,Seattle SuperSonics,1,73,97
60,59,Charlotte Bobcats,0,127,90
61,60,Sacramento Kings,0,96,104
63,61,San Antonio Spurs,0,94,99
64,62,Golden State Warriors,0,106,87
65,63,Denver Nuggets,1,99,107
66,64,Detroit Pistons,0,75,87
67,65,Los Angeles Lakers,1,111,116
68,66,Seattle SuperSonics,0,77,95
69,67,Washington Wizards,0,100,98
70,68,New York Knicks,1,92,86
71,69,Atlanta Hawks,1,102,100
72,70,Minnesota Timberwolves,1,93,94
73,71,Chicago Bulls,1,89,100
74,72,Memphis Grizzlies,0,92,96
75,73,Los Angeles Clippers,0,86,99
76,74,Utah Jazz,0,94,89
77,75,Houston Rockets,1,85,78
78,76,Dallas Mavericks,1,74,86
79,77,San Antonio Spurs,1,96,112
80,78,Houston Rockets,0,95,99
81,79,Los Angeles Clippers,1,89,107
82,80,Seattle SuperSonics,0,108,102
84,81,Utah Jazz,1,93,130
85,82,Golden State Warriors,0,98,120
