,G,Opponent,Home_away,Tm,Opp
0,1,Milwaukee Bucks,0,105,103
1,2,Golden State Warriors,0,94,107
2,3,Denver Nuggets,1,107,84
3,4,Phoenix Suns,0,122,85
4,5,Portland Trail Blazers,1,88,90
5,6,Seattle SuperSonics,1,92,105
6,7,Los Angeles Lakers,1,104,116
7,8,Golden State Warriors,1,95,101
8,9,San Diego Clippers,1,106,101
9,10,Utah Jazz,0,125,108
10,11,New York Knicks,0,111,112
11,12,Cleveland Cavaliers,1,110,123
12,13,New Jersey Nets,1,98,101
13,14,Philadelphia 76ers,1,102,110
14,15,Boston Celtics,1,119,127
15,16,Portland Trail Blazers,0,109,112
16,17,Philadelphia 76ers,0,110,103
17,18,Los Angeles Lakers,0,114,108
18,19,Chicago Bulls,0,103,97
19,20,Denver Nuggets,1,109,92
21,21,Golden State Warriors,0,112,109
22,22,Phoenix Suns,1,120,128
23,23,San Diego Clippers,1,107,91
24,24,Los Angeles Lakers,1,110,111
25,25,Houston Rockets,0,117,115
26,26,Detroit Pistons,1,105,95
27,27,Seattle SuperSonics,0,102,107
28,28,Boston Celtics,0,94,88
29,29,Detroit Pistons,0,109,93
30,30,New York Knicks,1,145,129
31,31,Portland Trail Blazers,0,124,85
32,32,Utah Jazz,0,103,87
33,33,Indiana Pacers,0,107,105
34,34,San Diego Clippers,0,110,96
35,35,Washington Bullets,1,107,97
36,36,Milwaukee Bucks,1,109,120
37,37,Phoenix Suns,0,111,115
38,38,Los Angeles Lakers,0,118,111
39,39,Phoenix Suns,1,112,118
40,40,San Antonio Spurs,1,125,127
42,41,Utah Jazz,1,128,121
43,42,San Antonio Spurs,0,115,106
44,43,Atlanta Hawks,1,112,107
45,44,Denver Nuggets,0,120,101
46,45,San Diego Clippers,0,116,124
47,46,Chicago Bulls,0,104,83
48,47,Denver Nuggets,0,112,99
49,48,New Jersey Nets,0,120,101
50,49,Chicago Bulls,1,109,111
51,50,Milwaukee Bucks,1,112,108
52,51,Indiana Pacers,1,103,108
53,52,Atlanta Hawks,0,101,89
54,53,Utah Jazz,1,110,88
55,54,Chicago Bulls,1,107,113
56,55,Utah Jazz,0,112,107
57,56,Denver Nuggets,1,121,111
58,57,Seattle SuperSonics,1,99,97
59,58,Portland Trail Blazers,1,93,94
60,59,Portland Trail Blazers,0,99,105
61,60,Phoenix Suns,1,95,97
63,61,Golden State Warriors,1,107,100
64,62,Washington Bullets,0,108,106
65,63,Los Angeles Lakers,1,100,114
66,64,San Diego Clippers,1,108,107
67,65,Seattle SuperSonics,0,107,105
68,66,Milwaukee Bucks,0,72,94
69,67,Golden State Warriors,0,117,99
70,68,San Diego Clippers,0,98,93
71,69,Houston Rockets,1,94,91
72,70,Los Angeles Lakers,0,101,117
73,71,Cleveland Cavaliers,0,104,111
74,72,Seattle SuperSonics,0,113,93
75,73,Chicago Bulls,1,98,100
76,74,Milwaukee Bucks,1,121,128
77,75,Phoenix Suns,0,109,112
78,76,Denver Nuggets,0,121,105
79,77,Utah Jazz,1,102,98
80,78,Seattle SuperSonics,1,90,112
81,79,Portland Trail Blazers,1,102,106
82,80,Golden State Warriors,1,100,106
84,81,Milwaukee Bucks,0,116,114
85,82,Chicago Bulls,0,114,110
