,G,Opponent,Home_away,Tm,Opp
0,1,Utah Jazz,0,89,86
1,2,Utah Jazz,0,86,93
2,3,Utah Jazz,1,90,87
3,4,Utah Jazz,1,91,86
5,5,Dallas Mavericks,0,108,91
6,6,Dallas Mavericks,0,102,110
7,7,Dallas Mavericks,1,125,119
8,8,Dallas Mavericks,1,115,113
9,9,Dallas Mavericks,0,114,101
11,10,Los Angeles Lakers,0,99,106
12,11,Los Angeles Lakers,0,96,90
13,12,Los Angeles Lakers,1,103,90
14,13,Los Angeles Lakers,1,99,100
15,14,Los Angeles Lakers,0,92,91
16,15,Los Angeles Lakers,1,102,106
17,16,Los Angeles Lakers,0,106,112
