,G,Opponent,Home_away,Tm,Opp
0,1,Indiana Pacers,0,122,109
1,2,New Orleans Hornets,0,90,99
2,3,Los Angeles Clippers,1,97,88
3,4,Phoenix Suns,1,112,110
4,5,Houston Rockets,0,124,121
5,6,Charlotte Bobcats,1,95,91
6,7,Los Angeles Clippers,0,107,95
7,8,Philadelphia 76ers,0,116,93
8,9,Oklahoma City Thunder,1,117,104
9,10,Chicago Bulls,0,103,94
10,11,Utah Jazz,1,94,82
11,12,Cleveland Cavaliers,0,116,92
12,13,Orlando Magic,0,106,97
13,14,Minnesota Timberwolves,1,113,109
14,15,Dallas Mavericks,0,94,103
15,16,New Orleans Hornets,1,109,95
16,17,Golden State Warriors,1,118,98
17,18,Los Angeles Clippers,1,85,90
18,19,Minnesota Timberwolves,0,107,101
19,20,New Orleans Hornets,0,109,84
21,21,Golden State Warriors,0,111,94
22,22,Atlanta Hawks,0,108,92
23,23,Portland Trail Blazers,0,95,78
24,24,Milwaukee Bucks,0,92,90
25,25,Denver Nuggets,1,113,112
26,26,Memphis Grizzlies,0,112,106
27,27,Phoenix Suns,0,118,110
28,28,Denver Nuggets,0,109,103
29,29,Orlando Magic,1,101,123
30,30,Washington Wizards,0,94,80
31,31,Los Angeles Lakers,0,97,82
32,32,Dallas Mavericks,1,99,93
33,33,Oklahoma City Thunder,0,101,74
34,34,New York Knicks,1,115,128
35,35,Boston Celtics,1,103,105
36,36,Indiana Pacers,1,90,87
37,37,Minnesota Timberwolves,0,94,91
38,38,Minnesota Timberwolves,1,107,96
39,39,Milwaukee Bucks,1,91,84
40,40,Dallas Mavericks,0,101,89
42,41,Denver Nuggets,0,110,97
43,42,Toronto Raptors,0,104,95
44,43,New York Knicks,0,101,92
45,44,New Orleans Hornets,1,72,96
46,45,Golden State Warriors,1,113,102
47,46,Utah Jazz,1,112,105
48,47,Houston Rockets,0,108,95
49,48,Portland Trail Blazers,1,86,99
50,49,Los Angeles Lakers,1,89,88
51,50,Sacramento Kings,1,113,100
52,51,Detroit Pistons,1,100,89
53,52,Toronto Raptors,1,111,100
54,53,Philadelphia 76ers,1,71,77
55,54,Washington Wizards,1,118,94
56,55,New Jersey Nets,1,102,85
57,56,Chicago Bulls,1,99,109
58,57,Oklahoma City Thunder,0,109,105
59,58,New Jersey Nets,0,106,96
60,59,Memphis Grizzlies,0,95,88
61,60,Memphis Grizzlies,1,93,109
63,61,Cleveland Cavaliers,1,109,99
64,62,Miami Heat,0,125,95
65,63,Los Angeles Lakers,0,83,99
66,64,Detroit Pistons,0,111,104
67,65,Sacramento Kings,0,108,103
68,66,Houston Rockets,1,115,107
69,67,Miami Heat,1,80,110
70,68,Dallas Mavericks,1,97,91
71,69,Charlotte Bobcats,0,109,98
72,70,Golden State Warriors,0,111,96
73,71,Denver Nuggets,1,112,115
74,72,Portland Trail Blazers,1,96,98
75,73,Memphis Grizzlies,1,104,111
76,74,Portland Trail Blazers,0,92,100
77,75,Boston Celtics,0,97,107
78,76,Houston Rockets,1,114,119
79,77,Phoenix Suns,0,114,97
80,78,Atlanta Hawks,1,97,90
81,79,Sacramento Kings,0,124,92
82,80,Utah Jazz,0,111,102
84,81,Los Angeles Lakers,1,93,102
85,82,Phoenix Suns,1,103,106
