,G,Opponent,Home_away,Tm,Opp
0,1,Los Angeles Lakers,0,91,79
1,2,Los Angeles Lakers,0,102,91
2,3,Los Angeles Lakers,1,120,89
3,4,Los Angeles Lakers,1,103,82
5,5,Golden State Warriors,0,129,127
6,6,Golden State Warriors,0,91,100
7,7,Golden State Warriors,1,102,92
8,8,Golden State Warriors,1,87,97
9,9,Golden State Warriors,0,109,91
10,10,Golden State Warriors,1,94,82
12,11,Memphis Grizzlies,0,105,83
13,12,Memphis Grizzlies,0,93,89
14,13,Memphis Grizzlies,1,104,93
15,14,Memphis Grizzlies,1,93,86
17,15,Miami Heat,1,92,88
18,16,Miami Heat,1,84,103
19,17,Miami Heat,0,113,77
20,18,Miami Heat,0,93,109
21,19,Miami Heat,0,114,104
22,20,Miami Heat,1,100,103
23,21,Miami Heat,1,88,95
