,playoff_regualr,team,year,Unnamed: 0,G,Opponent,Home_away,Tm,Opp
0,regular,TOR,1996,0,1,New Jersey Nets,0,94,79
1,regular,TOR,1996,1,2,Indiana Pacers,1,89,97
2,regular,TOR,1996,2,3,Chicago Bulls,1,108,117
3,regular,TOR,1996,3,4,Sacramento Kings,0,90,109
4,regular,TOR,1996,4,5,Phoenix Suns,0,108,112
5,regular,TOR,1996,5,6,Charlotte Hornets,1,117,123
6,regular,TOR,1996,6,7,Utah Jazz,0,100,103
7,regular,TOR,1996,7,8,Houston Rockets,0,93,96
8,regular,TOR,1996,8,9,Minnesota Timberwolves,0,114,96
9,regular,TOR,1996,9,10,Washington Bullets,1,103,102
10,regular,TOR,1996,10,11,Seattle SuperSonics,0,102,97
11,regular,TOR,1996,11,12,Milwaukee Bucks,1,86,96
12,regular,TOR,1996,12,13,Atlanta Hawks,1,102,114
13,regular,TOR,1996,13,14,Golden State Warriors,0,101,98
14,regular,TOR,1996,14,15,Cleveland Cavaliers,1,89,93
15,regular,TOR,1996,15,16,Philadelphia 76ers,0,105,102
16,regular,TOR,1996,16,17,Miami Heat,0,94,112
17,regular,TOR,1996,17,18,Seattle SuperSonics,1,89,119
18,regular,TOR,1996,18,19,Portland Trail Blazers,1,88,96
19,regular,TOR,1996,19,20,Los Angeles Lakers,1,103,120
20,regular,TOR,1996,21,21,Vancouver Grizzlies,1,93,81
21,regular,TOR,1996,22,22,Boston Celtics,0,96,116
22,regular,TOR,1996,23,23,Indiana Pacers,0,100,102
23,regular,TOR,1996,24,24,Boston Celtics,1,103,122
24,regular,TOR,1996,25,25,Orlando Magic,0,110,93
25,regular,TOR,1996,26,26,Detroit Pistons,0,82,94
26,regular,TOR,1996,27,27,Chicago Bulls,1,104,113
27,regular,TOR,1996,28,28,New York Knicks,1,91,103
28,regular,TOR,1996,29,29,Milwaukee Bucks,0,93,87
29,regular,TOR,1996,30,30,Detroit Pistons,1,91,113
30,regular,TOR,1996,31,31,Orlando Magic,1,110,121
31,regular,TOR,1996,32,32,Atlanta Hawks,1,101,104
32,regular,TOR,1996,33,33,Charlotte Hornets,0,91,92
33,regular,TOR,1996,34,34,Atlanta Hawks,0,79,87
34,regular,TOR,1996,35,35,Washington Bullets,0,106,100
35,regular,TOR,1996,36,36,New Jersey Nets,1,83,108
36,regular,TOR,1996,37,37,Indiana Pacers,0,102,110
37,regular,TOR,1996,38,38,Chicago Bulls,0,89,92
38,regular,TOR,1996,39,39,Boston Celtics,0,97,95
39,regular,TOR,1996,40,40,New Jersey Nets,0,86,79
40,regular,TOR,1996,42,41,Vancouver Grizzlies,0,101,106
41,regular,TOR,1996,43,42,Denver Nuggets,1,82,93
42,regular,TOR,1996,44,43,Sacramento Kings,1,75,102
43,regular,TOR,1996,45,44,Golden State Warriors,1,111,114
44,regular,TOR,1996,46,45,Los Angeles Clippers,1,119,113
45,regular,TOR,1996,47,46,Portland Trail Blazers,0,87,90
46,regular,TOR,1996,48,47,Milwaukee Bucks,0,88,93
47,regular,TOR,1996,49,48,Miami Heat,1,98,87
48,regular,TOR,1996,50,49,Cleveland Cavaliers,0,76,95
49,regular,TOR,1996,51,50,Detroit Pistons,1,95,108
50,regular,TOR,1996,52,51,Utah Jazz,1,86,102
51,regular,TOR,1996,53,52,Phoenix Suns,1,105,110
52,regular,TOR,1996,54,53,Dallas Mavericks,1,98,105
53,regular,TOR,1996,55,54,Houston Rockets,1,100,105
54,regular,TOR,1996,56,55,San Antonio Spurs,1,95,120
55,regular,TOR,1996,57,56,Cleveland Cavaliers,1,100,89
