,G,Opponent,Home_away,Tm,Opp
0,1,New Jersey Nets,0,90,87
1,2,Washington Wizards,0,82,79
2,3,Minnesota Timberwolves,1,56,73
3,4,Dallas Mavericks,0,77,71
4,5,Washington Wizards,1,60,86
5,6,Denver Nuggets,0,89,76
6,7,Portland Trail Blazers,1,80,83
7,8,Los Angeles Lakers,1,79,94
8,9,Sacramento Kings,1,64,94
9,10,Houston Rockets,0,101,97
10,11,Philadelphia 76ers,0,75,81
11,12,New Jersey Nets,1,81,80
12,13,Milwaukee Bucks,0,62,82
13,14,Atlanta Hawks,1,99,97
14,15,Orlando Magic,1,87,86
15,16,Miami Heat,1,66,78
16,17,Philadelphia 76ers,1,95,88
17,18,Boston Celtics,0,105,95
18,19,Atlanta Hawks,0,92,87
19,20,Seattle SuperSonics,0,108,98
21,21,Cleveland Cavaliers,1,100,93
22,22,Boston Celtics,1,111,114
23,23,Miami Heat,0,89,90
24,24,Dallas Mavericks,1,94,111
25,25,San Antonio Spurs,1,70,73
26,26,New York Knicks,0,105,99
27,27,Orlando Magic,0,93,104
28,28,Utah Jazz,1,94,97
29,29,Los Angeles Clippers,1,94,88
30,30,Denver Nuggets,1,81,74
31,31,New Orleans Hornets,0,74,86
32,32,Phoenix Suns,0,83,73
33,33,Cleveland Cavaliers,0,75,69
34,34,Los Angeles Clippers,0,68,78
35,35,Portland Trail Blazers,0,83,72
36,36,Detroit Pistons,1,91,95
37,37,New Orleans Hornets,1,78,74
38,38,Atlanta Hawks,1,70,75
39,39,New York Knicks,1,79,90
40,40,Minnesota Timberwolves,0,97,108
42,41,Milwaukee Bucks,1,86,98
43,42,Chicago Bulls,1,89,96
44,43,Philadelphia 76ers,0,94,84
45,44,Detroit Pistons,0,89,90
46,45,Los Angeles Lakers,0,83,84
47,46,Philadelphia 76ers,1,93,80
48,47,Orlando Magic,0,110,90
49,48,Indiana Pacers,0,77,83
50,49,Golden State Warriors,1,84,81
51,50,Phoenix Suns,1,101,94
52,51,Seattle SuperSonics,1,74,94
53,52,Chicago Bulls,1,73,75
54,53,San Antonio Spurs,0,82,86
55,54,New Jersey Nets,0,72,91
56,55,Sacramento Kings,0,81,96
57,56,New Jersey Nets,1,74,86
58,57,Washington Wizards,0,74,76
59,58,Boston Celtics,1,75,88
60,59,Boston Celtics,0,82,91
61,60,Miami Heat,1,89,86
63,61,Washington Wizards,1,70,84
64,62,New York Knicks,0,103,109
65,63,New Orleans Hornets,0,84,76
66,64,Indiana Pacers,1,84,94
67,65,Cleveland Cavaliers,0,92,106
68,66,Atlanta Hawks,0,101,84
69,67,Utah Jazz,0,85,81
70,68,Chicago Bulls,0,91,96
71,69,New Orleans Hornets,1,121,120
72,70,Memphis Grizzlies,1,86,95
73,71,Houston Rockets,1,89,90
74,72,New York Knicks,1,101,108
75,73,Memphis Grizzlies,0,88,94
76,74,Golden State Warriors,0,78,85
77,75,Indiana Pacers,1,64,84
78,76,Milwaukee Bucks,0,83,90
79,77,Cleveland Cavaliers,1,87,86
80,78,Indiana Pacers,0,90,94
81,79,Detroit Pistons,1,66,74
82,80,Chicago Bulls,0,108,114
84,81,Detroit Pistons,0,87,78
85,82,Milwaukee Bucks,1,89,87
