,G,Opponent,Home_away,Tm,Opp
0,1,Indiana Pacers,0,90,100
1,2,Indiana Pacers,0,98,87
2,3,Indiana Pacers,1,101,85
3,4,Indiana Pacers,1,83,100
4,5,Indiana Pacers,0,102,99
5,6,Indiana Pacers,1,83,101
6,7,Indiana Pacers,0,89,84
8,8,Miami Heat,0,96,102
9,9,Miami Heat,0,96,92
10,10,Miami Heat,1,95,91
11,11,Miami Heat,1,87,94
12,12,Miami Heat,0,99,91
13,13,Miami Heat,1,91,103
14,14,Miami Heat,0,116,89
16,15,Cleveland Cavaliers,1,84,115
17,16,Cleveland Cavaliers,1,89,108
18,17,Cleveland Cavaliers,0,99,84
19,18,Cleveland Cavaliers,0,105,99
20,19,Cleveland Cavaliers,1,78,116
21,20,Cleveland Cavaliers,0,87,113
